,year,month,region_1,가로등,교육용,농사용,산업용,심야,일반용,임시전력,주택용
0,2013,1,가창면,1.8749388509519207,,2.38083843252544,59.95809841293417,14.88617534462523,14.236519999324168,,6.6634289596390746
1,2013,1,감삼동,0.999160942361847,1.0319121325597198,,3.5149936770669576,7.186035081701475,50.79818215565548,0.6141001450635092,35.855615865591005
2,2013,1,검단동,0.3306745363931281,,0.2551212413207511,87.69849148052234,1.162335417645049,5.444704745542406,0.0044787763464722,5.104193802229856
3,2013,1,고산1동,0.9349554279365592,3.384444458248402,0.2361300757063967,14.0099048748155,2.8120605402702785,41.47040713913641,,37.15209748388645
4,2013,1,고산2동,3.1528082045714507,1.2683713700076311,1.4407502938890464,9.721878299091808,4.623024510434604,48.23423133253788,1.2606826685654162,30.29825332090216
5,2013,1,고산3동,1.126712021891823,2.0723248114219803,1.857297236027152,21.643035537450228,2.494506748523581,25.903347877334102,,44.90277576735113
6,2013,1,고성동,1.3964856110862784,,,7.1984620191746185,4.239444878931094,65.05337255738841,,22.1122349334196
7,2013,1,공산동,4.172540846242007,0.986552364377852,4.686777224196256,2.9977242939415256,31.118862026921608,38.22913163215932,0.0211150979049291,17.787296514256514
8,2013,1,관문동,1.8760462958245083,1.4416207152505525,0.9783488289978952,5.030256334371442,1.516118632982473,57.19254360982431,0.8421048404762939,31.12296074227253
9,2013,1,관음동,2.1239563500853404,1.4949752704818928,1.5919063354009184,4.682198772537018,3.556545137294881,38.4219828867491,,48.12843524745085
10,2013,1,구암동,0.9366094258977532,5.527815859458454,0.7112194270235734,2.8839828890359023,4.806118180375148,40.577972422725175,,44.55628179548399
11,2013,1,구지면,1.108243209139523,,2.073701426269615,88.88612224054235,1.0808004462717873,3.042276133716607,0.0658153019433904,3.743041242116724
12,2013,1,국우동,1.7128341523487045,4.765004510512172,1.147064463194936,5.000520409022853,4.188820628087693,44.34282922965815,0.3430370324984762,38.49988957467701
13,2013,1,남산1동,0.8218253111103139,5.401322319011815,,8.35668266709816,4.752145963421116,61.94260859698172,2.076672317319926,16.648742825056946
14,2013,1,남산2동,1.3628433551431407,,,32.986856874071385,3.1975135657998326,39.94944504865935,0.3811531406869467,22.12218801563935
15,2013,1,남산3동,0.8192603133576315,,,20.71383972004008,8.594943877328765,34.184849056877745,4.373938170676812,31.313168861718964
16,2013,1,남산4동,1.4813970536485592,0.4347652778218948,,3.555477494411673,6.311772886914939,33.36600067639151,,54.85058661081143
17,2013,1,내당1동,1.4015592617453851,0.7381775435626962,,4.194475018084221,5.509732815952724,55.07611521199552,,33.07994014865945
18,2013,1,내당2.3동,1.273739821268009,,,5.825675099518344,8.49668201831222,40.09117062277588,,44.31273243812555
19,2013,1,내당4동,0.8693515789285357,4.02545148071874,,3.145189477175008,5.735544725712245,46.339592477270216,,39.88487026019526
20,2013,1,노원동,0.5710577403898717,0.0582546911088203,0.0267330023808778,83.57427962555046,0.8745924389032328,11.805963899830791,0.0248028217035581,3.064315780132384
21,2013,1,논공읍,0.3114479460884357,0.179270469905183,0.5854826952758829,92.46552176600837,0.8120667535100469,3.4711554534590205,7.909766786678335e-05,2.174975818085207
22,2013,1,다사읍,0.8160029315808441,1.2097599604591214,2.7263591029273964,58.28000343861262,2.141166974141749,21.66180031212428,0.0971239192922368,13.06778336086176
23,2013,1,대명10동,0.8477020905243281,,,1.978412625319315,15.15119035568091,50.981217237347984,,31.04147769112746
24,2013,1,대명11동,0.9285549339745244,,,1.0009163726139905,14.069384480572475,39.661238980494026,,44.33990523234498
25,2013,1,대명1동,1.5736365015602545,19.966592130192947,,1.4755853811589308,10.619657748998494,34.1307111473468,,32.23381709074258
26,2013,1,대명2동,0.8506970561615423,6.292001548739676,,1.0434469157967337,11.829485734578572,46.06549015062398,,33.918878594099496
27,2013,1,대명3동,0.8475193480502454,2.8887955218952914,,2.0018109345045354,18.76305473618704,43.37791449875896,0.0783305003802362,32.04257446022369
28,2013,1,대명4동,0.5789866993593813,6.131508082639332,,2.3590475442881,10.38934133105517,49.23358751669113,,31.30752882596689
29,2013,1,대명5동,0.7075913630111018,8.05291738082779,,0.7270604135919876,10.570921552468777,56.08039130284923,,23.86111798725112
30,2013,1,대명6동,0.670510408835361,1.1486033115589809,,4.617328953650722,18.5212350449754,42.69408966155999,,32.34823261941955
31,2013,1,대명9동,0.9533278493280172,1.924396051104564,,1.5401383706330076,18.1770697095007,44.87201940983898,0.0031899705678909,32.52985863902684
32,2013,1,대봉1동,0.9479246825820364,,,2.744197337217336,2.9654832841444825,68.73234287331684,,24.610051822739305
33,2013,1,대봉2동,1.919917864476386,,,6.74667480622306,9.708455889154042,45.56606914923137,,36.05888229091514
34,2013,1,대신동,1.3036763362417736,,0.1082477603105006,3.348244076537766,4.210852650568055,75.60047219268692,,15.428506983654982
35,2013,1,대현동,1.4697084799701192,0.8146956824224323,,1.3771515802226495,11.96716932200532,45.650030937810726,,38.72124399756876
36,2013,1,도원동,0.6351647634463485,3.0398164732045827,0.0612741099030462,2.3761449644958645,1.6983863211952883,35.52573395633604,,56.66347941141883
37,2013,1,도평동,6.4335297362838135,,8.18403768783742,7.110200444635149,25.53220913699816,21.11411454961629,,31.625908444629168
38,2013,1,동인동,4.1245896660039305,7.412880515166538,,3.16663678323326,6.18473103650987,62.33655054004201,0.0490856928324949,16.725525766211895
39,2013,1,동촌동,0.7846750094821895,,0.0732197105482441,13.928942259570984,8.158021448037756,58.18513623389586,,18.870005338464964
