"행정구역","2010년10월_거주자 인구수","2010년10월_세대수","2010년10월_세대당 인구","2010년11월_거주자 인구수","2010년11월_세대수","2010년11월_세대당 인구","2010년12월_거주자 인구수","2010년12월_세대수","2010년12월_세대당 인구"
"대구광역시 서구 (2717000000)","221,960","88,055","          2.52","221,668","88,050","          2.52","221,174","87,913","          2.52"
"대구광역시 서구 내당1동(2717051000)","12,449","4,897","          2.54","12,448","4,911","          2.53","12,456","4,921","          2.53"
"대구광역시 서구 내당2.3동(2717052500)","13,202","5,393","          2.45","13,208","5,398","          2.45","13,180","5,398","          2.44"
"대구광역시 서구 내당4동(2717054000)","20,089","7,537","          2.67","20,136","7,567","          2.66","20,070","7,544","          2.66"
"대구광역시 서구 비산1동(2717055000)","13,762","5,422","          2.54","13,717","5,413","          2.53","13,632","5,390","          2.53"
"대구광역시 서구 비산2.3동(2717056500)","13,438","5,701","          2.36","13,413","5,697","          2.35","13,370","5,673","          2.36"
"대구광역시 서구 비산4동(2717058000)","12,610","4,825","          2.61","12,600","4,830","          2.61","12,595","4,832","          2.61"
"대구광역시 서구 비산5동(2717059000)","8,503","3,614","          2.35","8,462","3,598","          2.35","8,465","3,595","          2.35"
"대구광역시 서구 비산6동(2717060000)","10,138","3,954","          2.56","10,129","3,960","          2.56","10,087","3,939","          2.56"
"대구광역시 서구 비산7동(2717061000)","14,756","6,430","          2.29","14,728","6,419","          2.29","14,631","6,391","          2.29"
"대구광역시 서구 평리1동(2717062000)","10,176","4,087","          2.49","10,133","4,081","          2.48","10,052","4,055","          2.48"
"대구광역시 서구 평리2동(2717063000)","7,639","3,002","          2.54","7,748","3,031","          2.56","7,821","3,061","          2.56"
"대구광역시 서구 평리3동(2717064000)","15,262","6,181","          2.47","15,178","6,147","          2.47","15,195","6,153","          2.47"
"대구광역시 서구 평리4동(2717065000)","15,554","6,239","          2.49","15,517","6,249","          2.48","15,456","6,227","          2.48"
"대구광역시 서구 평리5동(2717066000)","8,602","3,324","          2.59","8,573","3,323","          2.58","8,571","3,324","          2.58"
"대구광역시 서구 평리6동(2717066100)","10,301","3,952","          2.61","10,256","3,951","          2.60","10,247","3,950","          2.59"
"대구광역시 서구 상중이동(2717067500)","23,860","8,589","          2.78","23,850","8,580","          2.78","23,847","8,587","          2.78"
"대구광역시 서구 원대동(2717069500)","11,619","4,908","          2.37","11,572","4,895","          2.36","11,499","4,873","          2.36"
