"행정구역","2014년01월_거주자 인구수","2014년01월_세대수","2014년01월_세대당 인구","2014년02월_거주자 인구수","2014년02월_세대수","2014년02월_세대당 인구","2014년03월_거주자 인구수","2014년03월_세대수","2014년03월_세대당 인구","2014년04월_거주자 인구수","2014년04월_세대수","2014년04월_세대당 인구","2014년05월_거주자 인구수","2014년05월_세대수","2014년05월_세대당 인구","2014년06월_거주자 인구수","2014년06월_세대수","2014년06월_세대당 인구","2014년07월_거주자 인구수","2014년07월_세대수","2014년07월_세대당 인구","2014년08월_거주자 인구수","2014년08월_세대수","2014년08월_세대당 인구","2014년09월_거주자 인구수","2014년09월_세대수","2014년09월_세대당 인구","2014년10월_거주자 인구수","2014년10월_세대수","2014년10월_세대당 인구","2014년11월_거주자 인구수","2014년11월_세대수","2014년11월_세대당 인구","2014년12월_거주자 인구수","2014년12월_세대수","2014년12월_세대당 인구"
"대구광역시 서구 (2717000000)","212,567","88,282","          2.41","212,349","88,346","          2.40","212,150","88,362","          2.40","211,825","88,286","          2.40","211,381","88,259","          2.40","211,157","88,334","          2.39","210,709","88,269","          2.39","210,257","88,186","          2.38","209,660","88,089","          2.38","209,065","88,068","          2.37","208,601","88,058","          2.37","208,265","88,067","          2.36"
"대구광역시 서구 내당1동(2717051000)","11,886","4,959","          2.40","11,902","4,964","          2.40","11,935","4,983","          2.40","11,924","4,977","          2.40","11,920","4,994","          2.39","11,928","5,014","          2.38","11,909","5,006","          2.38","11,870","5,010","          2.37","11,871","5,025","          2.36","11,866","5,037","          2.36","11,843","5,038","          2.35","11,876","5,053","          2.35"
"대구광역시 서구 내당2.3동(2717052500)","12,017","5,166","          2.33","11,998","5,168","          2.32","11,982","5,172","          2.32","11,986","5,176","          2.32","11,900","5,167","          2.30","11,881","5,166","          2.30","11,863","5,161","          2.30","11,827","5,147","          2.30","11,797","5,143","          2.29","11,764","5,140","          2.29","11,700","5,142","          2.28","11,688","5,150","          2.27"
"대구광역시 서구 내당4동(2717054000)","19,467","7,652","          2.54","19,427","7,641","          2.54","19,414","7,651","          2.54","19,418","7,669","          2.53","19,391","7,687","          2.52","19,395","7,724","          2.51","19,399","7,721","          2.51","19,368","7,718","          2.51","19,232","7,672","          2.51","19,193","7,668","          2.50","19,163","7,668","          2.50","19,235","7,697","          2.50"
"대구광역시 서구 비산1동(2717055000)","12,369","5,218","          2.37","12,383","5,231","          2.37","12,318","5,236","          2.35","12,250","5,210","          2.35","12,197","5,191","          2.35","12,223","5,209","          2.35","12,182","5,201","          2.34","12,123","5,190","          2.34","12,061","5,171","          2.33","12,021","5,171","          2.32","12,017","5,176","          2.32","11,980","5,166","          2.32"
"대구광역시 서구 비산2.3동(2717056500)","12,054","5,473","          2.20","12,049","5,482","          2.20","12,005","5,473","          2.19","11,947","5,456","          2.19","11,922","5,466","          2.18","11,855","5,453","          2.17","11,814","5,443","          2.17","11,767","5,427","          2.17","11,736","5,422","          2.16","11,688","5,423","          2.16","11,619","5,399","          2.15","11,583","5,386","          2.15"
"대구광역시 서구 비산4동(2717058000)","11,806","4,692","          2.52","11,784","4,695","          2.51","11,762","4,685","          2.51","11,733","4,675","          2.51","11,701","4,667","          2.51","11,639","4,653","          2.50","11,565","4,633","          2.50","11,553","4,632","          2.49","11,523","4,618","          2.50","11,492","4,628","          2.48","11,484","4,638","          2.48","11,417","4,624","          2.47"
"대구광역시 서구 비산5동(2717059000)","7,678","3,470","          2.21","7,674","3,475","          2.21","7,662","3,467","          2.21","7,629","3,462","          2.20","7,633","3,474","          2.20","7,623","3,471","          2.20","7,570","3,454","          2.19","7,559","3,450","          2.19","7,515","3,441","          2.18","7,479","3,436","          2.18","7,480","3,442","          2.17","7,473","3,437","          2.17"
"대구광역시 서구 비산6동(2717060000)","9,326","3,827","          2.44","9,316","3,828","          2.43","9,292","3,832","          2.42","9,243","3,817","          2.42","9,262","3,818","          2.43","9,256","3,821","          2.42","9,223","3,819","          2.42","9,220","3,817","          2.42","9,131","3,800","          2.40","9,072","3,793","          2.39","9,077","3,792","          2.39","9,095","3,805","          2.39"
"대구광역시 서구 비산7동(2717061000)","13,375","6,196","          2.16","13,319","6,193","          2.15","13,280","6,182","          2.15","13,238","6,173","          2.14","13,203","6,161","          2.14","13,177","6,169","          2.14","13,155","6,163","          2.13","13,140","6,170","          2.13","13,109","6,168","          2.13","13,081","6,170","          2.12","13,072","6,169","          2.12","13,071","6,186","          2.11"
"대구광역시 서구 평리1동(2717062000)","9,064","3,845","          2.36","9,027","3,845","          2.35","9,004","3,839","          2.35","9,005","3,840","          2.35","8,973","3,832","          2.34","8,945","3,819","          2.34","8,922","3,822","          2.33","8,928","3,832","          2.33","8,944","3,845","          2.33","8,924","3,848","          2.32","8,893","3,843","          2.31","8,872","3,839","          2.31"
"대구광역시 서구 평리2동(2717063000)","9,281","3,580","          2.59","9,317","3,593","          2.59","9,353","3,610","          2.59","9,344","3,616","          2.58","9,335","3,612","          2.58","9,336","3,618","          2.58","9,326","3,612","          2.58","9,286","3,598","          2.58","9,301","3,605","          2.58","9,287","3,604","          2.58","9,261","3,595","          2.58","9,219","3,589","          2.57"
"대구광역시 서구 평리3동(2717064000)","14,144","5,978","          2.37","14,095","5,977","          2.36","14,104","5,986","          2.36","14,107","5,996","          2.35","14,096","6,000","          2.35","14,124","6,023","          2.35","14,069","6,018","          2.34","14,019","5,996","          2.34","13,977","5,998","          2.33","13,928","5,985","          2.33","13,896","5,996","          2.32","13,845","5,980","          2.32"
"대구광역시 서구 평리4동(2717065000)","19,861","7,994","          2.48","19,856","8,002","          2.48","19,881","8,016","          2.48","19,943","8,046","          2.48","19,934","8,041","          2.48","19,935","8,056","          2.47","19,903","8,065","          2.47","19,945","8,084","          2.47","19,938","8,080","          2.47","19,891","8,082","          2.46","19,870","8,102","          2.45","19,839","8,105","          2.45"
"대구광역시 서구 평리5동(2717066000)","7,802","3,206","          2.43","7,767","3,199","          2.43","7,755","3,190","          2.43","7,761","3,189","          2.43","7,718","3,181","          2.43","7,704","3,177","          2.42","7,721","3,192","          2.42","7,713","3,185","          2.42","7,677","3,172","          2.42","7,643","3,175","          2.41","7,602","3,175","          2.39","7,568","3,175","          2.38"
"대구광역시 서구 평리6동(2717066100)","9,311","3,838","          2.43","9,280","3,841","          2.42","9,250","3,833","          2.41","9,253","3,839","          2.41","9,193","3,819","          2.41","9,184","3,812","          2.41","9,175","3,817","          2.40","9,150","3,812","          2.40","9,138","3,820","          2.39","9,116","3,813","          2.39","9,100","3,808","          2.39","9,069","3,801","          2.39"
"대구광역시 서구 상중이동(2717067500)","22,673","8,520","          2.66","22,674","8,529","          2.66","22,712","8,532","          2.66","22,663","8,504","          2.66","22,646","8,512","          2.66","22,633","8,518","          2.66","22,620","8,515","          2.66","22,543","8,506","          2.65","22,503","8,504","          2.65","22,441","8,494","          2.64","22,410","8,486","          2.64","22,321","8,458","          2.64"
"대구광역시 서구 원대동(2717069500)","10,453","4,668","          2.24","10,481","4,683","          2.24","10,441","4,675","          2.23","10,381","4,641","          2.24","10,357","4,637","          2.23","10,319","4,631","          2.23","10,293","4,627","          2.22","10,246","4,612","          2.22","10,207","4,605","          2.22","10,179","4,601","          2.21","10,114","4,589","          2.20","10,114","4,616","          2.19"
