"행정구역","2022년01월_거주자 인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_거주자 인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_거주자 인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_거주자 인구수","2022년04월_세대수","2022년04월_세대당 인구"
"대구광역시 달서구 (2729000000)","542,295","233,177","          2.33","541,402","233,350","          2.32","540,271","233,658","          2.31","538,643","233,423","          2.31"
"대구광역시 달서구 성당동(2729051500)","23,092","10,582","          2.18","22,995","10,536","          2.18","22,916","10,505","          2.18","22,782","10,462","          2.18"
"대구광역시 달서구 두류1.2동(2729053500)","14,266","8,126","          1.76","14,272","8,168","          1.75","14,219","8,147","          1.75","14,132","8,123","          1.74"
"대구광역시 달서구 두류3동(2729055000)","8,193","4,068","          2.01","8,166","4,059","          2.01","8,131","4,060","          2.00","8,083","4,044","          2.00"
"대구광역시 달서구 감삼동(2729055500)","26,440","11,385","          2.32","26,220","11,297","          2.32","26,022","11,206","          2.32","25,828","11,121","          2.32"
"대구광역시 달서구 죽전동(2729056300)","13,494","6,838","          1.97","13,471","6,848","          1.97","13,455","6,846","          1.97","13,380","6,840","          1.96"
"대구광역시 달서구 장기동(2729056800)","17,070","7,158","          2.38","17,056","7,167","          2.38","17,009","7,159","          2.38","16,964","7,163","          2.37"
"대구광역시 달서구 용산1동(2729057100)","30,837","12,433","          2.48","30,772","12,445","          2.47","30,595","12,418","          2.46","30,566","12,442","          2.46"
"대구광역시 달서구 용산2동(2729057200)","28,737","11,421","          2.52","28,632","11,402","          2.51","28,556","11,415","          2.50","28,475","11,401","          2.50"
"대구광역시 달서구 이곡1동(2729057600)","22,974","9,232","          2.49","22,892","9,238","          2.48","22,827","9,246","          2.47","22,787","9,254","          2.46"
"대구광역시 달서구 이곡2동(2729057700)","16,427","7,063","          2.33","16,383","7,075","          2.32","16,284","7,073","          2.30","16,204","7,054","          2.30"
"대구광역시 달서구 신당동(2729058500)","31,426","17,147","          1.83","31,425","17,218","          1.83","31,830","17,708","          1.80","31,751","17,737","          1.79"
"대구광역시 달서구 본리동(2729059000)","20,651","8,226","          2.51","20,447","8,152","          2.51","20,342","8,123","          2.50","20,263","8,095","          2.50"
"대구광역시 달서구 월성1동(2729060100)","37,186","11,839","          3.14","37,109","11,850","          3.13","37,011","11,843","          3.13","36,967","11,847","          3.12"
"대구광역시 달서구 월성2동(2729060200)","15,819","8,414","          1.88","15,783","8,407","          1.88","15,707","8,387","          1.87","15,657","8,378","          1.87"
"대구광역시 달서구 진천동(2729061500)","51,348","20,823","          2.47","51,254","20,832","          2.46","51,098","20,813","          2.46","50,949","20,786","          2.45"
"대구광역시 달서구 유천동(2729061700)","32,710","10,525","          3.11","33,277","10,724","          3.10","33,443","10,802","          3.10","33,505","10,834","          3.09"
"대구광역시 달서구 상인1동(2729062400)","36,041","13,054","          2.76","35,903","13,044","          2.75","35,838","13,046","          2.75","35,647","13,005","          2.74"
"대구광역시 달서구 상인2동(2729062500)","19,668","9,294","          2.12","19,631","9,316","          2.11","19,537","9,292","          2.10","19,521","9,308","          2.10"
"대구광역시 달서구 상인3동(2729062600)","11,049","6,152","          1.80","11,038","6,157","          1.79","11,018","6,154","          1.79","10,979","6,148","          1.79"
"대구광역시 달서구 도원동(2729062800)","35,413","13,867","          2.55","35,316","13,864","          2.55","35,162","13,854","          2.54","35,054","13,858","          2.53"
"대구광역시 달서구 송현1동(2729063000)","19,244","10,180","          1.89","19,229","10,211","          1.88","19,207","10,214","          1.88","19,177","10,194","          1.88"
"대구광역시 달서구 송현2동(2729064000)","17,985","9,296","          1.93","17,957","9,307","          1.93","17,914","9,315","          1.92","17,854","9,304","          1.92"
"대구광역시 달서구 본동(2729065000)","12,225","6,054","          2.02","12,174","6,033","          2.02","12,150","6,032","          2.01","12,118","6,025","          2.01"
