"행정구역","2014년01월_거주자 인구수","2014년01월_세대수","2014년01월_세대당 인구","2014년02월_거주자 인구수","2014년02월_세대수","2014년02월_세대당 인구","2014년03월_거주자 인구수","2014년03월_세대수","2014년03월_세대당 인구","2014년04월_거주자 인구수","2014년04월_세대수","2014년04월_세대당 인구","2014년05월_거주자 인구수","2014년05월_세대수","2014년05월_세대당 인구","2014년06월_거주자 인구수","2014년06월_세대수","2014년06월_세대당 인구","2014년07월_거주자 인구수","2014년07월_세대수","2014년07월_세대당 인구","2014년08월_거주자 인구수","2014년08월_세대수","2014년08월_세대당 인구","2014년09월_거주자 인구수","2014년09월_세대수","2014년09월_세대당 인구","2014년10월_거주자 인구수","2014년10월_세대수","2014년10월_세대당 인구","2014년11월_거주자 인구수","2014년11월_세대수","2014년11월_세대당 인구","2014년12월_거주자 인구수","2014년12월_세대수","2014년12월_세대당 인구"
"대구광역시 달성군 (2771000000)","183,382","67,111","          2.73","183,367","67,225","          2.73","183,473","67,374","          2.72","183,503","67,436","          2.72","183,551","67,495","          2.72","183,652","67,570","          2.72","183,770","67,680","          2.72","183,821","67,757","          2.71","183,772","67,829","          2.71","183,768","67,929","          2.71","183,761","67,979","          2.70","183,991","68,172","          2.70"
"대구광역시 달성군 화원읍(2771025000)","54,086","18,363","          2.95","53,998","18,341","          2.94","53,946","18,363","          2.94","53,879","18,377","          2.93","53,893","18,389","          2.93","53,904","18,412","          2.93","53,853","18,398","          2.93","53,785","18,400","          2.92","53,645","18,379","          2.92","53,534","18,379","          2.91","53,466","18,370","          2.91","53,372","18,347","          2.91"
"대구광역시 달성군 논공읍(2771025300)","3,554","1,619","          2.20","3,538","1,625","          2.18","3,534","1,628","          2.17","3,550","1,637","          2.17","3,536","1,636","          2.16","3,545","1,640","          2.16","3,556","1,647","          2.16","3,553","1,652","          2.15","3,541","1,650","          2.15","3,536","1,648","          2.15","3,544","1,659","          2.14","3,539","1,657","          2.14"
"대구광역시 달성군 논공읍공단출장소(2771025400)","19,529","7,309","          2.67","19,507","7,316","          2.67","19,513","7,333","          2.66","19,528","7,326","          2.67","19,514","7,323","          2.66","19,520","7,323","          2.67","19,571","7,352","          2.66","19,567","7,350","          2.66","19,546","7,349","          2.66","19,547","7,369","          2.65","19,559","7,382","          2.65","19,396","7,340","          2.64"
"대구광역시 달성군 다사읍(2771025600)","44,782","15,036","          2.98","44,881","15,102","          2.97","44,954","15,143","          2.97","44,966","15,160","          2.97","44,987","15,160","          2.97","44,999","15,168","          2.97","45,011","15,179","          2.97","45,080","15,219","          2.96","45,108","15,229","          2.96","45,139","15,237","          2.96","45,157","15,244","          2.96","45,078","15,226","          2.96"
"대구광역시 달성군 다사읍서재출장소(2771025700)","18,027","6,010","          3.00","18,012","6,015","          2.99","18,020","6,018","          2.99","18,069","6,045","          2.99","18,103","6,070","          2.98","18,113","6,086","          2.98","18,143","6,104","          2.97","18,149","6,112","          2.97","18,165","6,136","          2.96","18,171","6,149","          2.96","18,222","6,160","          2.96","18,234","6,184","          2.95"
"대구광역시 달성군 가창면(2771031000)","8,274","3,475","          2.38","8,251","3,479","          2.37","8,232","3,472","          2.37","8,205","3,460","          2.37","8,226","3,473","          2.37","8,229","3,471","          2.37","8,233","3,464","          2.38","8,225","3,460","          2.38","8,243","3,475","          2.37","8,257","3,486","          2.37","8,277","3,498","          2.37","8,274","3,501","          2.36"
"대구광역시 달성군 하빈면(2771033000)","4,314","1,993","          2.16","4,311","1,998","          2.16","4,281","1,995","          2.15","4,288","2,000","          2.14","4,284","1,999","          2.14","4,286","2,001","          2.14","4,294","2,002","          2.14","4,289","2,000","          2.14","4,260","1,996","          2.13","4,297","2,024","          2.12","4,296","2,022","          2.12","4,310","2,031","          2.12"
"대구광역시 달성군 옥포면(2771034000)","10,369","4,183","          2.48","10,343","4,177","          2.48","10,345","4,172","          2.48","10,327","4,163","          2.48","10,274","4,152","          2.47","10,290","4,156","          2.48","10,251","4,157","          2.47","10,253","4,164","          2.46","10,245","4,168","          2.46","10,231","4,164","          2.46","10,200","4,157","          2.45","10,198","4,156","          2.45"
"대구광역시 달성군 현풍면(2771036000)","10,498","4,428","          2.37","10,556","4,449","          2.37","10,591","4,492","          2.36","10,602","4,511","          2.35","10,606","4,520","          2.35","10,601","4,534","          2.34","10,637","4,561","          2.33","10,675","4,570","          2.34","10,730","4,595","          2.34","10,770","4,617","          2.33","10,749","4,626","          2.32","11,260","4,830","          2.33"
"대구광역시 달성군 유가면(2771037000)","2,543","1,199","          2.12","2,573","1,208","          2.13","2,581","1,214","          2.13","2,600","1,219","          2.13","2,567","1,210","          2.12","2,567","1,211","          2.12","2,579","1,222","          2.11","2,602","1,236","          2.11","2,608","1,237","          2.11","2,626","1,247","          2.11","2,644","1,250","          2.12","2,654","1,259","          2.11"
"대구광역시 달성군 구지면(2771038000)","7,406","3,496","          2.12","7,397","3,515","          2.10","7,476","3,544","          2.11","7,489","3,538","          2.12","7,561","3,563","          2.12","7,598","3,568","          2.13","7,642","3,594","          2.13","7,643","3,594","          2.13","7,681","3,615","          2.12","7,660","3,609","          2.12","7,647","3,611","          2.12","7,676","3,641","          2.11"
