"행정구역","2013년01월_거주자 인구수","2013년01월_세대수","2013년01월_세대당 인구","2013년02월_거주자 인구수","2013년02월_세대수","2013년02월_세대당 인구","2013년03월_거주자 인구수","2013년03월_세대수","2013년03월_세대당 인구","2013년04월_거주자 인구수","2013년04월_세대수","2013년04월_세대당 인구","2013년05월_거주자 인구수","2013년05월_세대수","2013년05월_세대당 인구","2013년06월_거주자 인구수","2013년06월_세대수","2013년06월_세대당 인구","2013년07월_거주자 인구수","2013년07월_세대수","2013년07월_세대당 인구","2013년08월_거주자 인구수","2013년08월_세대수","2013년08월_세대당 인구","2013년09월_거주자 인구수","2013년09월_세대수","2013년09월_세대당 인구","2013년10월_거주자 인구수","2013년10월_세대수","2013년10월_세대당 인구","2013년11월_거주자 인구수","2013년11월_세대수","2013년11월_세대당 인구","2013년12월_거주자 인구수","2013년12월_세대수","2013년12월_세대당 인구"
"대구광역시 달성군 (2771000000)","183,544","65,996","          2.78","183,680","66,137","          2.78","183,600","66,175","          2.77","183,807","66,357","          2.77","183,498","66,410","          2.76","183,278","66,471","          2.76","183,187","66,499","          2.75","183,197","66,620","          2.75","183,349","66,744","          2.75","183,414","66,888","          2.74","183,432","66,988","          2.74","183,410","67,064","          2.73"
"대구광역시 달성군 화원읍(2771025000)","54,982","18,307","          3.00","54,981","18,331","          3.00","54,884","18,325","          3.00","54,909","18,351","          2.99","54,627","18,319","          2.98","54,427","18,311","          2.97","54,320","18,302","          2.97","54,242","18,320","          2.96","54,230","18,333","          2.96","54,212","18,372","          2.95","54,227","18,375","          2.95","54,099","18,348","          2.95"
"대구광역시 달성군 논공읍(2771025300)","3,561","1,572","          2.27","3,549","1,574","          2.25","3,555","1,581","          2.25","3,543","1,587","          2.23","3,539","1,589","          2.23","3,536","1,590","          2.22","3,570","1,604","          2.23","3,556","1,605","          2.22","3,559","1,610","          2.21","3,549","1,611","          2.20","3,553","1,618","          2.20","3,554","1,620","          2.19"
"대구광역시 달성군 논공읍공단출장소(2771025400)","19,470","7,159","          2.72","19,463","7,163","          2.72","19,468","7,172","          2.71","19,471","7,192","          2.71","19,512","7,224","          2.70","19,477","7,224","          2.70","19,489","7,243","          2.69","19,501","7,256","          2.69","19,518","7,269","          2.69","19,563","7,300","          2.68","19,572","7,314","          2.68","19,544","7,307","          2.67"
"대구광역시 달성군 다사읍(2771025600)","43,943","14,619","          3.01","44,084","14,670","          3.01","44,153","14,702","          3.00","44,249","14,762","          3.00","44,292","14,796","          2.99","44,369","14,836","          2.99","44,473","14,848","          3.00","44,537","14,880","          2.99","44,613","14,919","          2.99","44,627","14,925","          2.99","44,684","14,978","          2.98","44,794","15,028","          2.98"
"대구광역시 달성군 다사읍서재출장소(2771025700)","17,960","5,882","          3.05","17,979","5,896","          3.05","17,954","5,881","          3.05","18,002","5,901","          3.05","17,951","5,897","          3.04","17,900","5,896","          3.04","17,895","5,914","          3.03","17,938","5,941","          3.02","17,968","5,959","          3.02","17,986","5,974","          3.01","17,998","5,987","          3.01","18,017","6,006","          3.00"
"대구광역시 달성군 가창면(2771031000)","8,412","3,466","          2.43","8,391","3,458","          2.43","8,371","3,453","          2.42","8,376","3,453","          2.43","8,371","3,468","          2.41","8,347","3,464","          2.41","8,337","3,472","          2.40","8,317","3,471","          2.40","8,332","3,485","          2.39","8,306","3,483","          2.38","8,283","3,471","          2.39","8,276","3,479","          2.38"
"대구광역시 달성군 하빈면(2771033000)","4,306","1,950","          2.21","4,300","1,949","          2.21","4,276","1,950","          2.19","4,273","1,952","          2.19","4,280","1,963","          2.18","4,285","1,970","          2.18","4,270","1,967","          2.17","4,276","1,967","          2.17","4,291","1,974","          2.17","4,293","1,974","          2.17","4,335","1,996","          2.17","4,336","2,000","          2.17"
"대구광역시 달성군 옥포면(2771034000)","10,693","4,205","          2.54","10,652","4,201","          2.54","10,648","4,201","          2.53","10,635","4,206","          2.53","10,577","4,201","          2.52","10,561","4,205","          2.51","10,522","4,192","          2.51","10,466","4,185","          2.50","10,439","4,183","          2.50","10,442","4,193","          2.49","10,376","4,176","          2.48","10,382","4,187","          2.48"
"대구광역시 달성군 현풍면(2771036000)","10,441","4,281","          2.44","10,430","4,303","          2.42","10,397","4,310","          2.41","10,414","4,323","          2.41","10,426","4,331","          2.41","10,451","4,350","          2.40","10,431","4,331","          2.41","10,439","4,346","          2.40","10,447","4,361","          2.40","10,492","4,389","          2.39","10,463","4,393","          2.38","10,478","4,412","          2.37"
"대구광역시 달성군 유가면(2771037000)","2,516","1,184","          2.13","2,507","1,180","          2.12","2,513","1,179","          2.13","2,509","1,184","          2.12","2,500","1,183","          2.11","2,495","1,181","          2.11","2,471","1,173","          2.11","2,467","1,175","          2.10","2,500","1,175","          2.13","2,506","1,181","          2.12","2,499","1,179","          2.12","2,520","1,194","          2.11"
"대구광역시 달성군 구지면(2771038000)","7,260","3,371","          2.15","7,344","3,412","          2.15","7,381","3,421","          2.16","7,426","3,446","          2.15","7,423","3,439","          2.16","7,430","3,444","          2.16","7,409","3,453","          2.15","7,458","3,474","          2.15","7,452","3,476","          2.14","7,438","3,486","          2.13","7,442","3,501","          2.13","7,410","3,483","          2.13"
