일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2013년 08월 30일 03시,0,26.9,122.5,990,24,86,220,약,소형,북북동,11,0
2013년 08월 30일 03시,12,28.5,123.8,990,24,86,220,약,소형,북동,18,60
2013년 08월 30일 03시,24,30.4,126,994,21,76,180,약,소형,북동,25,140
2013년 08월 30일 03시,36,32.3,129.1,996,19,68,160,약,소형,동북동,30,185
2013년 08월 30일 03시,48,35.1,134.9,998,-1,-4,0,-,-,동북동,52,0
2013년 08월 30일 09시,0,28.6,123.5,992,22,79,200,약,소형,북북동,36,0
2013년 08월 30일 09시,12,30.1,125.4,992,22,79,200,약,소형,북동,21,60
2013년 08월 30일 09시,24,31.7,127.8,994,21,76,180,약,소형,북동,24,140
2013년 08월 30일 09시,36,33.5,131.1,996,19,68,160,약,소형,동북동,31,185
2013년 08월 30일 09시,48,35.9,135.9,998,-1,-4,0,-,-,동북동,43,0
2013년 08월 30일 15시,0,29.9,124.4,994,21,76,170,약,소형,북동,28,0
2013년 08월 30일 15시,12,32,127.5,994,21,76,170,약,소형,북동,31,80
2013년 08월 30일 15시,24,34.2,131.3,996,19,68,150,약,소형,동북동,36,140
2013년 08월 30일 15시,36,36.6,136.4,998,-1,-4,0,-,-,동북동,44,0
2013년 08월 30일 21시,0,30.7,125.7,996,19,68,150,약,소형,동북동,26,0
2013년 08월 30일 21시,12,33.4,129.8,996,19,68,150,약,소형,동북동,41,80
2013년 08월 30일 21시,24,36.8,135.2,998,-1,-4,0,-,-,동북동,52,0
2013년 08월 31일 03시,0,32.4,128.1,1000,-1,-4,0,-,-,북동,49,0
