일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 07월 31일 21시,48,34.8,120.7,985,27,97,220,중,소형,서북서,35,250
2012년 07월 31일 21시,72,38.4,111.7,1000,-1,-4,0,-,-,서북서,37,0
2012년 08월 01일 03시,0,29.5,134.9,975,34,122,250,강,소형,서북서,37,0
2012년 08월 01일 03시,12,30.9,130.7,975,34,122,250,강,소형,서북서,36,72
2012년 08월 01일 03시,24,32.7,126.5,975,34,122,250,강,소형,서북서,37,150
2012년 08월 01일 03시,36,34.3,122.3,980,31,112,220,중,소형,서북서,35,200
2012년 08월 01일 03시,48,35.8,118.2,990,24,86,150,약,소형,서북서,35,250
2012년 08월 01일 03시,60,37.9,114.4,996,19,68,120,약,소형,서북서,34,325
2012년 08월 01일 03시,72,40.6,111.7,1002,-1,-4,0,-,-,북서,32,0
2012년 08월 01일 09시,0,30,132.7,975,34,122,250,강,소형,서북서,37,0
2012년 08월 01일 09시,12,31.6,128.3,975,34,122,250,강,소형,서북서,38,100
2012년 08월 01일 09시,24,33.4,123.2,980,31,112,250,중,소형,서북서,44,200
2012년 08월 01일 09시,36,35.7,116.6,985,27,97,200,중,소형,서북서,55,350
2012년 08월 01일 09시,48,38.5,110.7,996,-1,-4,0,-,-,서북서,50,0
2012년 08월 01일 15시,0,30.5,130.6,980,31,112,250,중,소형,서북서,35,0
2012년 08월 01일 15시,6,31.4,128.5,980,31,112,250,중,소형,서북서,37,50
2012년 08월 01일 15시,12,32.4,126.2,980,31,112,250,중,소형,서북서,41,120
2012년 08월 01일 15시,18,33.3,123.5,985,27,97,220,중,소형,서북서,46,200
2012년 08월 01일 15시,24,34.2,120.4,990,24,86,180,약,소형,서북서,50,300
2012년 08월 01일 15시,36,35.9,114.9,996,-1,-4,0,-,-,서북서,45,0
2012년 08월 01일 18시,0,30.6,130,980,31,112,250,중,소형,서,21,0
2012년 08월 01일 18시,6,31.5,127.8,980,31,112,250,중,소형,서북서,39,50
2012년 08월 01일 18시,12,32.6,125,980,31,112,250,중,소형,서북서,48,120
2012년 08월 01일 18시,18,33.6,122,985,27,97,220,중,소형,서북서,51,200
2012년 08월 01일 18시,24,34.8,118.3,990,24,86,180,약,소형,서북서,62,300
2012년 08월 01일 18시,36,36,113.3,996,-1,-4,0,-,-,서북서,39,0
2012년 08월 01일 21시,0,31,129.1,980,31,112,250,중,소형,북서,27,0
2012년 08월 01일 21시,6,32.1,126.6,980,31,112,250,중,소형,서북서,45,100
2012년 08월 01일 21시,12,33.1,123.4,980,31,112,250,중,소형,서북서,53,150
2012년 08월 01일 21시,18,34.2,119.8,985,27,97,220,중,소형,서북서,59,200
2012년 08월 01일 21시,24,35.1,116.2,990,24,86,180,약,소형,서북서,57,300
