일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 07월 01일 15시,72,41,136.6,998,19,68,0,-,-,북북동,27,0
2018년 07월 01일 21시,0,25.5,126.8,980,29,104,280,중,소형,북북서,20,null
2018년 07월 01일 21시,12,28.1,126.4,980,29,104,260,중,소형,북,24,50
2018년 07월 01일 21시,24,30.8,126.6,985,27,97,240,중,소형,북,25,110
2018년 07월 01일 21시,36,33.5,127.3,990,24,86,220,약,소형,북북동,26,140
2018년 07월 01일 21시,48,35.7,129.9,992,23,83,200,약,소형,북동,28,170
2018년 07월 01일 21시,60,40.1,135.1,996,20,72,0,-,-,북북동,29,0
2018년 07월 02일 03시,0,26.2,126.8,980,29,104,280,중,소형,북,13,null
2018년 07월 02일 03시,12,28.9,126.5,985,27,97,260,중,소형,북,25,50
2018년 07월 02일 03시,24,31.8,126.8,990,24,86,230,약,소형,북,26,110
2018년 07월 02일 03시,36,34.4,128.3,992,23,83,210,약,소형,북북동,26,140
2018년 07월 02일 03시,48,37.4,132,996,20,72,200,약,소형,북동,44,170
2018년 07월 02일 03시,60,41.7,137.3,998,19,68,0,-,-,북동,47,0
2018년 07월 02일 09시,0,27.2,127.1,975,32,115,280,중,소형,북북동,19,null
2018년 07월 02일 09시,12,30.4,126.5,980,29,104,250,중,소형,북,30,50
2018년 07월 02일 09시,24,33.1,127.5,990,24,86,220,약,소형,북동,31,110
2018년 07월 02일 09시,36,35.4,130,994,21,76,200,약,소형,북동,28,140
2018년 07월 02일 09시,48,38.6,133.8,996,20,72,180,약,소형,북동,41,170
2018년 07월 02일 09시,60,41.8,137.6,998,19,68,0,-,-,북동,30,0
2018년 07월 02일 15시,0,28.2,127.2,975,32,115,280,중,소형,북,19,null
2018년 07월 02일 15시,6,30,127.5,975,32,115,270,중,소형,북,33,20
2018년 07월 02일 15시,12,31.3,127.6,980,29,104,260,중,소형,북,24,50
2018년 07월 02일 15시,18,32.8,128.1,985,27,97,250,중,소형,북북동,28,72
2018년 07월 02일 15시,24,33.9,128.9,985,27,97,240,중,소형,북동,24,110
2018년 07월 02일 15시,30,34.8,129.9,990,24,86,230,약,소형,북동,25,125
2018년 07월 02일 15시,36,36,131.4,992,23,83,220,약,소형,북동,34,140
2018년 07월 02일 15시,42,38,133.3,994,21,76,200,약,소형,북동,43,155
2018년 07월 02일 15시,48,39.8,135.4,996,20,72,0,-,-,북북동,29,0
2018년 07월 02일 18시,0,28.8,127.5,975,32,115,280,중,소형,북북동,24,null
2018년 07월 02일 18시,6,30.5,127.7,980,29,104,270,중,소형,북,28,25
2018년 07월 02일 18시,12,32.1,127.9,985,27,97,260,중,소형,북,31,50
2018년 07월 02일 18시,18,33.4,128.6,985,27,97,260,중,소형,북북동,18,70
2018년 07월 02일 18시,24,34.3,129.5,990,24,86,250,약,소형,북동,22,110
2018년 07월 02일 18시,30,35.4,130.5,990,24,86,240,약,소형,북동,26,125
2018년 07월 02일 18시,36,36.7,132,992,23,83,230,약,소형,북동,37,140
2018년 07월 02일 18시,42,38.6,134,994,21,76,200,약,소형,북동,46,155
2018년 07월 02일 18시,48,40.2,136,996,20,72,0,-,-,북동,44,0
2018년 07월 02일 21시,0,29.4,127.8,975,32,115,280,중,소형,북북동,24,null
2018년 07월 02일 21시,6,30.9,128.1,980,29,104,280,중,소형,북북동,28,25
2018년 07월 02일 21시,12,32.4,128.3,985,27,97,270,중,소형,북,28,50
2018년 07월 02일 21시,18,33.6,128.9,990,24,86,260,약,소형,북북동,24,70
2018년 07월 02일 21시,24,34.7,129.9,990,24,86,250,약,소형,북동,26,110
2018년 07월 02일 21시,30,35.9,131.2,992,23,83,240,약,소형,북동,29,125
2018년 07월 02일 21시,36,37.3,132.7,992,23,83,240,약,소형,북동,34,140
2018년 07월 02일 21시,42,38.8,134.3,994,21,76,220,약,소형,북동,37,155
2018년 07월 02일 21시,48,40.3,136.2,994,21,76,0,-,-,북동,29,0
2018년 07월 03일 00시,0,30,128,975,32,115,280,중,소형,북북동,25,null
2018년 07월 03일 00시,6,31.6,128.2,985,27,97,270,중,소형,북,29,24
2018년 07월 03일 00시,12,33.1,128.7,990,24,86,260,약,소형,북북동,27,48
2018년 07월 03일 00시,18,34.2,129.4,990,24,86,250,약,소형,북북동,24,72
2018년 07월 03일 00시,24,35.3,130.5,992,23,83,240,약,소형,북동,28,110
2018년 07월 03일 00시,30,36.4,131.8,992,23,83,230,약,소형,북동,29,125
2018년 07월 03일 00시,36,38,133.3,994,21,76,220,약,소형,북동,35,140
2018년 07월 03일 00시,42,39.3,135,994,21,76,0,-,-,북동,28,0
2018년 07월 03일 03시,0,30.7,128,975,32,115,280,중,소형,북,24,null
2018년 07월 03일 03시,6,32.1,128.4,985,27,97,260,중,소형,북북동,27,24
2018년 07월 03일 03시,12,33.6,129,990,24,86,250,약,소형,북북동,25,48
2018년 07월 03일 03시,18,34.5,129.6,990,24,86,240,약,소형,북동,19,72
2018년 07월 03일 03시,24,35.6,130.8,992,23,83,230,약,소형,북동,29,110
2018년 07월 03일 03시,30,36.7,132.1,994,21,76,220,약,소형,북동,29,125
2018년 07월 03일 03시,36,38.1,133.6,994,21,76,210,약,소형,북동,34,140
2018년 07월 03일 03시,42,39.2,134.9,0,-1,-4,0,-,-,북동,26,0
2018년 07월 03일 06시,0,31.3,128,975,32,115,270,중,소형,북,22,null
2018년 07월 03일 06시,6,32.7,128.5,985,27,97,250,중,소형,북북동,27,25
2018년 07월 03일 06시,12,34,129.3,990,24,86,250,약,소형,북북동,27,50
2018년 07월 03일 06시,18,35,130.1,990,24,86,240,약,소형,북동,23,72
2018년 07월 03일 06시,24,36,131.4,992,23,83,230,약,소형,북동,26,110
2018년 07월 03일 06시,30,37.4,132.8,992,23,83,220,약,소형,북동,33,125
2018년 07월 03일 06시,36,38.6,133.9,994,21,76,210,약,소형,북동,27,140
2018년 07월 03일 06시,42,39.9,134.8,994,21,76,0,-,-,북동,26,0
2018년 07월 03일 09시,0,31.9,128.2,975,32,115,270,중,소형,북북동,24,null
2018년 07월 03일 09시,6,33.3,128.8,980,29,104,260,중,소형,북북동,27,30
2018년 07월 03일 09시,12,34.6,129.7,985,27,97,250,중,소형,북동,28,50
2018년 07월 03일 09시,18,35.6,130.9,990,24,86,240,약,소형,북동,25,70
2018년 07월 03일 09시,24,36.7,132,992,23,83,220,약,소형,북동,26,110
2018년 07월 03일 09시,30,37.9,133.2,992,23,83,220,약,소형,북동,29,130
2018년 07월 03일 09시,36,39.1,134.2,994,21,76,200,약,소형,북동,27,140
2018년 07월 03일 09시,42,40.3,135.1,996,20,72,0,-,-,북동,31,0
2018년 07월 03일 12시,0,32.6,128.5,975,32,115,270,중,소형,북북동,27,null
2018년 07월 03일 12시,6,33.9,129.2,980,29,104,250,중,소형,북북동,26,20
2018년 07월 03일 12시,12,35.1,130.3,985,27,97,240,중,소형,북동,27,50
2018년 07월 03일 12시,18,36.3,131.4,990,24,86,230,약,소형,북동,27,70
2018년 07월 03일 12시,24,37.4,132.5,992,23,83,220,약,소형,북동,26,110
2018년 07월 03일 12시,30,38.7,134,992,23,83,210,약,소형,북동,32,130
2018년 07월 03일 12시,36,40,135.6,994,21,76,0,-,-,북동,29,0
2018년 07월 03일 15시,0,33.3,128.7,975,32,115,260,중,소형,북북동,27,null
2018년 07월 03일 15시,6,34.5,129.7,980,29,104,240,중,소형,북동,27,20
2018년 07월 03일 15시,12,35.5,130.7,990,24,86,230,약,소형,북동,28,50
2018년 07월 03일 15시,18,36.7,131.9,992,23,83,220,약,소형,북동,29,70
2018년 07월 03일 15시,24,38,133.3,992,23,83,220,약,소형,북동,31,110
2018년 07월 03일 15시,30,39.2,134.8,994,21,76,210,약,소형,북동,31,130
2018년 07월 03일 15시,36,40.6,137.3,996,20,72,0,-,-,북동,30,0
2018년 07월 03일 18시,0,33.9,129.1,980,27,97,250,중,소형,북북동,25,null
2018년 07월 03일 18시,6,35.3,130,985,24,86,240,약,소형,북북동,29,20
2018년 07월 03일 18시,12,36.4,131,990,22,79,230,약,소형,북동,31,50
2018년 07월 03일 18시,18,37.7,132.4,992,21,76,210,약,소형,북동,31,70
2018년 07월 03일 18시,24,38.9,134.2,994,20,72,200,약,소형,동북동,33,110
2018년 07월 03일 18시,30,40.3,137.1,994,20,72,0,-,-,북동,33,0
2018년 07월 03일 21시,0,34.4,129.6,980,27,97,200,중,소형,북동,24,null
2018년 07월 03일 21시,6,35.8,130.4,985,24,86,180,약,소형,북북동,28,20
2018년 07월 03일 21시,12,37.1,131.7,990,22,79,180,약,소형,북동,30,50
2018년 07월 03일 21시,18,38.4,133.3,992,21,76,150,약,소형,북동,33,70
2018년 07월 03일 21시,24,40.1,136.4,994,20,72,0,-,-,북동,35,0
2018년 07월 04일 00시,0,34.9,130.2,985,24,86,180,약,소형,북동,26,null
2018년 07월 04일 00시,6,36.4,131,990,23,83,170,약,소형,북북동,31,20
2018년 07월 04일 00시,12,37.7,132.4,992,22,79,160,약,소형,북동,32,50
2018년 07월 04일 00시,18,38.9,134.3,994,21,76,150,약,소형,동북동,35,70
2018년 07월 04일 00시,24,40.5,137.5,996,20,72,0,-,-,북동,36,0
2018년 07월 04일 03시,0,35.5,131,985,24,86,160,약,소형,북동,33,null
2018년 07월 04일 03시,6,37.1,132,990,23,83,150,약,소형,북북동,34,20
2018년 07월 04일 03시,12,38.5,133.6,992,22,79,140,약,소형,북동,35,50
2018년 07월 04일 03시,18,39.7,135.9,994,21,76,130,약,소형,동북동,38,70
2018년 07월 04일 03시,24,41,138.9,996,20,72,0,-,-,북동,38,0
2018년 07월 04일 06시,0,36.2,131.5,985,24,86,150,약,소형,북동,30,null
2018년 07월 04일 06시,6,37.9,132.7,990,23,83,140,약,소형,북동,37,20
2018년 07월 04일 06시,12,39.1,134.7,994,21,76,120,약,소형,동북동,37,50
2018년 07월 04일 06시,18,40.5,137.6,996,20,72,0,-,-,동북동,47,0
2018년 07월 04일 09시,0,37.4,132.4,985,22,79,100,약,소형,북동,52,null
2018년 07월 04일 09시,6,39,134.6,990,20,72,80,약,소형,북동,43,20
2018년 07월 04일 09시,12,40.2,137.2,992,19,68,0,-,-,북동,44,0
2018년 07월 04일 12시,0,38.2,133.5,985,22,79,80,약,소형,북동,44,null
2018년 07월 04일 12시,6,39.6,135.8,990,20,72,70,약,소형,동북동,41,24
2018년 07월 04일 12시,12,40.7,138.4,992,18,65,0,-,-,동북동,44,0
2018년 07월 04일 15시,0,39.1,134.6,985,22,79,80,약,소형,북동,46,null
2018년 07월 04일 15시,12,41.3,139.4,992,18,65,0,-,-,동북동,41,0
2018년 07월 04일 18시,0,40.1,135.8,990,18,65,0,-,-,북동,50,null
