,행정구역,count,month,year
184,성내2동,"5,264",11,2011
185,성내3동,"3,987",11,2011
186,대신동,"5,218",11,2011
187,남산1동,"4,251",11,2011
188,남산2동,"4,880",11,2011
189,남산3동,"5,352",11,2011
190,남산4동,"14,773",11,2011
191,대봉1동,"7,697",11,2011
192,대봉2동,"4,233",11,2011
193,동인1.2.4가동,0,12,2011
194,동인동,"10,531",12,2011
195,동인3가동,0,12,2011
196,삼덕동,"4,476",12,2011
197,성내1동,"4,414",12,2011
198,성내2동,"5,242",12,2011
199,성내3동,"3,957",12,2011
200,대신동,"5,192",12,2011
201,남산1동,"4,240",12,2011
202,남산2동,"4,884",12,2011
203,남산3동,"5,354",12,2011
204,남산4동,"14,733",12,2011
205,대봉1동,"7,677",12,2011
206,대봉2동,"4,227",12,2011
207,동인동,"10,547",1,2012
208,삼덕동,"4,442",1,2012
209,성내1동,"4,453",1,2012
210,성내2동,"5,237",1,2012
211,성내3동,"3,958",1,2012
212,대신동,"5,207",1,2012
213,남산1동,"4,230",1,2012
214,남산2동,"4,877",1,2012
215,남산3동,"5,336",1,2012
216,남산4동,"14,696",1,2012
217,대봉1동,"7,645",1,2012
218,대봉2동,"4,191",1,2012
219,동인동,"10,541",2,2012
220,삼덕동,"4,439",2,2012
221,성내1동,"4,512",2,2012
222,성내2동,"5,226",2,2012
223,성내3동,"3,940",2,2012
224,대신동,"5,184",2,2012
225,남산1동,"4,193",2,2012
226,남산2동,"4,845",2,2012
227,남산3동,"5,300",2,2012
228,남산4동,"14,648",2,2012
229,대봉1동,"7,652",2,2012
230,대봉2동,"4,166",2,2012
231,동인동,"10,478",3,2012
232,삼덕동,"4,439",3,2012
233,성내1동,"4,487",3,2012
234,성내2동,"5,218",3,2012
235,성내3동,"3,927",3,2012
236,대신동,"5,169",3,2012
237,남산1동,"4,180",3,2012
238,남산2동,"4,832",3,2012
239,남산3동,"5,290",3,2012
240,남산4동,"14,578",3,2012
241,대봉1동,"7,697",3,2012
242,대봉2동,"4,130",3,2012
243,동인동,"10,489",4,2012
244,삼덕동,"4,447",4,2012
245,성내1동,"4,463",4,2012
246,성내2동,"5,212",4,2012
247,성내3동,"3,906",4,2012
248,대신동,"5,168",4,2012
249,남산1동,"4,175",4,2012
250,남산2동,"4,812",4,2012
251,남산3동,"5,294",4,2012
252,남산4동,"14,555",4,2012
253,대봉1동,"7,699",4,2012
254,대봉2동,"4,147",4,2012
255,동인동,"10,511",5,2012
256,삼덕동,"4,461",5,2012
257,성내1동,"4,454",5,2012
258,성내2동,"5,196",5,2012
259,성내3동,"3,907",5,2012
260,대신동,"5,139",5,2012
261,남산1동,"4,161",5,2012
262,남산2동,"4,803",5,2012
263,남산3동,"5,292",5,2012
264,남산4동,"14,528",5,2012
265,대봉1동,"7,692",5,2012
266,대봉2동,"4,141",5,2012
267,동인동,"10,481",6,2012
268,삼덕동,"4,464",6,2012
269,성내1동,"4,479",6,2012
270,성내2동,"5,170",6,2012
271,성내3동,"3,897",6,2012
272,대신동,"5,110",6,2012
273,남산1동,"4,156",6,2012
274,남산2동,"4,810",6,2012
