행정구역,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12
1,동인동,"8,315","8,301","8,294","8,251","8,229","8,185","8,138","8,098","8,108","8,091","8,055","7,947"
2,삼덕동,"6,629","6,621","6,613","6,589","6,597","6,570","6,566","6,567","6,582","6,552","6,530","6,515"
3,성내1동,"4,961","4,976","4,940","4,900","4,903","4,880","4,846","4,865","4,846","4,799","4,748","4,769"
4,성내2동,"4,381","4,345","4,305","4,284","4,277","4,284","4,269","4,256","4,272","4,247","4,217","4,209"
5,성내3동,"5,022","5,015","4,972","4,922","4,857","4,846","4,837","4,807","4,797","4,773","4,732","4,710"
6,대신동,"8,021","7,999","7,956","7,947","7,930","7,932","7,931","7,931","7,904","7,838","7,800","7,800"
7,남산1동,"5,026","5,002","5,008","4,990","4,979","4,923","4,901","4,907","4,879","4,829","4,800","4,740"
8,남산2동,"4,189","4,182","4,176","4,164","4,164","4,151","4,149","4,159","4,273","5,545","6,126","6,387"
9,남산3동,"6,918","6,909","6,884","6,885","6,869","6,841","6,830","6,778","6,766","6,715","6,656","6,628"
10,남산4동,"11,731","11,739","11,667","11,660","11,630","11,616","11,598","11,546","11,510","11,444","11,409","11,396"
11,대봉1동,"7,540","7,493","7,459","7,442","7,405","7,393","7,305","7,172","7,087","6,888","6,837","6,839"
12,대봉2동,"2,275","2,212","2,128","2,083","2,072","2,032","1,994","1,974","1,949","1,924","1,887","1,850"
