행정구역,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12
1,범어1동,"18,660","18,723","18,712","18,671","18,715","18,659","18,608","18,584","18,558","18,566","18,559","18,557"
2,범어2동,"15,188","15,245","15,210","15,178","15,206","15,117","15,087","15,069","15,075","15,063","15,126","15,215"
3,범어3동,"12,463","12,492","12,469","12,454","12,429","12,460","12,443","12,414","12,418","12,407","12,412","12,416"
4,범어4동,"19,965","19,958","19,811","19,757","19,734","19,881","20,026","20,108","20,145","20,295","20,306","20,214"
5,만촌1동,"25,828","25,834","25,824","25,842","25,804","25,824","25,828","25,779","25,628","25,667","25,662","25,615"
6,만촌2동,"13,065","13,012","13,050","12,986","12,997","12,970","12,975","12,967","12,901","12,925","12,958","12,975"
7,만촌3동,"21,075","20,950","20,804","20,770","20,753","20,771","20,786","20,796","20,754","20,823","20,849","20,785"
8,수성1가동,"17,865","17,871","17,867","17,821","17,781","17,749","17,726","17,681","17,614","17,604","17,589","17,601"
9,수성2.3가동,"13,551","13,606","13,613","13,560","13,542","13,543","13,515","13,507","13,471","13,530","13,566","13,552"
10,수성4가동,"17,191","17,162","17,204","17,190","17,158","17,100","17,134","17,121","17,086","17,071","17,090","17,087"
11,황금1동,"25,656","25,622","25,530","25,486","25,409","25,384","25,315","25,305","25,218","25,179","25,116","24,898"
12,황금2동,"12,822","12,784","12,732","12,785","12,765","12,743","12,772","12,762","12,701","12,735","12,770","12,857"
13,중동,"13,282","13,274","13,245","13,178","13,142","13,115","13,130","13,130","13,109","13,089","13,058","13,016"
14,상동,"17,926","18,033","18,117","18,145","18,146","18,159","18,160","18,251","18,212","18,249","18,261","18,303"
15,파동,"14,888","14,906","14,898","14,853","14,865","14,858","14,856","14,852","14,824","14,821","14,875","14,839"
16,두산동,"14,612","14,598","14,646","14,574","14,631","14,670","14,652","14,627","14,584","14,582","14,609","14,643"
17,지산1동,"25,697","25,622","25,555","25,540","25,473","25,468","25,427","25,432","25,320","25,339","25,384","25,377"
18,지산2동,"23,226","23,139","23,079","23,031","22,936","22,922","22,890","22,830","22,736","22,630","22,622","22,643"
19,범물1동,"14,225","14,192","14,199","14,199","14,201","14,198","14,129","14,126","14,071","14,054","14,044","13,970"
20,범물2동,"18,452","18,401","18,369","18,350","18,300","18,289","18,306","18,276","18,149","18,182","18,197","18,185"
21,고산1동,"36,334","36,296","36,206","36,115","36,073","36,030","35,987","35,762","35,148","35,434","35,490","35,401"
22,고산2동,"29,345","29,209","29,118","29,078","29,076","29,061","28,995","28,920","28,626","28,659","28,655","28,600"
23,고산3동,"37,033","37,261","37,344","37,371","37,416","37,362","37,323","37,066","36,545","36,730","36,852","36,798"
