행정구역,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
1,고성동,"4,921","4,906","4,896","4,871","4,750","4,635","4,497","4,404","4,316","4,226","4,176","4,140"
2,칠성동,"23,640","23,614","23,579","23,557","23,551","23,572","23,555","23,565","23,590","23,571","23,448","23,421"
3,침산1동,"4,409","4,403","4,387","4,368","4,347","4,361","4,369","4,332","4,320","4,296","4,271","4,259"
4,침산2동,"19,977","19,951","19,968","19,928","19,910","19,875","19,906","19,906","19,862","19,824","19,764","19,718"
5,침산3동,"21,014","21,015","20,954","20,944","20,935","20,931","20,944","20,934","20,893","20,881","20,861","20,814"
6,산격1동,"10,020","9,979","9,932","9,915","9,889","9,890","9,890","9,862","9,846","9,808","9,801","9,777"
7,산격2동,"11,748","11,754","11,700","11,681","11,664","11,629","11,600","11,583","11,572","11,551","11,513","11,491"
8,산격3동,"8,727","8,757","8,753","8,760","8,806","8,827","8,832","8,878","8,905","8,893","8,875","8,868"
9,산격4동,"8,867","8,853","8,797","8,782","8,779","8,763","8,755","8,761","8,735","8,700","8,671","8,662"
10,대현동,"18,703","18,712","18,683","18,643","18,628","18,663","18,647","18,627","18,615","18,613","18,616","18,563"
11,복현1동,"7,103","7,121","7,134","7,147","7,172","7,184","7,199","7,183","7,196","7,199","7,225","7,235"
12,복현2동,"28,257","28,163","28,064","28,061","28,072","28,099","28,053","28,038","27,989","27,937","27,888","27,863"
13,검단동,"7,273","7,239","7,215","7,212","7,193","7,180","7,159","7,165","7,166","7,147","7,114","7,103"
14,무태조야동,"28,556","28,466","28,428","28,460","28,617","28,689","28,738","28,752","28,804","28,852","28,886","28,904"
15,관문동,"32,101","32,063","32,093","32,189","34,296","35,804","36,544","37,019","37,164","37,364","37,543","37,596"
16,태전1동,"23,020","22,970","22,982","22,916","22,741","22,599","22,505","22,537","22,531","22,526","22,449","22,407"
17,태전2동,"25,672","25,662","25,645","25,669","25,472","25,290","25,216","25,164","25,225","25,225","25,234","25,172"
18,구암동,"37,927","37,825","37,805","37,752","37,559","37,456","37,447","37,336","37,379","37,345","37,272","37,224"
19,관음동,"18,084","17,994","17,988","17,955","17,829","17,729","17,708","17,707","17,666","17,578","17,543","17,463"
20,읍내동,"27,705","27,722","27,730","27,724","27,622","27,590","27,529","27,470","27,452","27,382","27,342","27,308"
21,동천동,"30,214","30,162","30,121","30,077","29,959","29,815","29,786","29,799","29,748","29,745","29,667","29,622"
22,노원동,"13,365","13,306","13,328","13,302","13,289","13,255","13,261","13,259","13,242","13,180","13,105","12,976"
23,국우동,"24,856","24,782","24,736","24,735","24,560","24,517","24,462","24,432","24,424","24,428","24,480","24,413"
