행정구역,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12
1,고성동,"6,469","6,452","6,489","6,480","6,467","6,460","6,462","6,449","6,436","6,399","6,395","6,377"
2,칠성동,"21,530","21,481","21,529","21,546","21,508","21,481","21,396","21,352","21,351","21,366","21,380","21,382"
3,침산1동,"5,176","5,172","5,138","5,090","5,075","5,056","5,057","5,021","5,035","5,018","5,005","4,990"
4,침산2동,"17,157","17,162","17,173","17,150","17,166","17,130","17,109","17,105","17,131","17,093","17,048","17,008"
5,침산3동,"21,919","21,904","21,893","21,873","21,865","21,814","21,753","21,746","21,733","21,700","21,665","21,652"
6,산격1동,"11,700","11,670","11,629","11,618","11,560","11,510","11,502","11,474","11,468","11,445","11,406","11,374"
7,산격2동,"12,924","12,920","12,888","12,836","12,817","12,780","12,746","12,702","12,681","12,576","12,568","12,565"
8,산격3동,"9,443","9,416","9,405","9,382","9,360","9,371","9,303","9,298","9,292","9,329","9,341","9,338"
9,산격4동,"9,828","9,839","9,812","9,826","9,841","9,845","9,825","9,757","9,784","9,779","9,742","9,714"
10,대현동,"17,572","17,551","17,529","17,510","17,503","17,480","17,485","17,492","17,499","17,461","17,426","17,412"
11,복현1동,"7,294","7,320","7,326","7,336","7,347","7,330","7,313","7,322","7,315","7,320","7,304","7,308"
12,복현2동,"31,442","31,408","31,459","31,427","31,414","31,395","31,354","31,408","31,345","31,294","31,296","31,270"
13,검단동,"8,395","8,373","8,350","8,329","8,302","8,291","8,264","8,283","8,305","8,316","8,322","8,291"
14,무태조야동,"30,801","30,772","30,763","30,797","30,753","30,718","30,648","30,636","30,614","30,550","30,518","30,474"
15,관문동,"19,844","19,881","19,918","19,906","19,955","20,488","21,491","22,001","22,180","22,344","22,451","22,520"
16,태전1동,"23,058","23,031","23,039","23,136","23,193","23,846","24,121","24,183","24,294","24,272","24,323","24,313"
17,태전2동,"25,404","25,381","25,310","25,254","25,247","25,130","25,014","25,024","25,000","25,023","25,005","24,962"
18,구암동,"41,421","41,347","41,272","41,362","41,321","41,193","41,023","41,023","40,892","40,872","40,827","40,714"
19,관음동,"20,799","20,737","20,685","20,601","20,544","20,436","20,375","20,310","20,319","20,318","20,347","20,292"
20,읍내동,"28,974","28,913","28,881","28,839","28,868","28,781","28,734","28,686","28,676","28,632","28,705","28,686"
21,동천동,"32,190","32,135","32,096","32,106","32,126","32,043","32,066","31,981","31,991","31,955","31,953","31,943"
22,노원동,"11,264","11,259","11,228","11,217","11,188","11,155","11,086","11,056","11,036","11,014","11,010","10,962"
23,국우동,"26,759","26,692","26,816","26,766","26,809","26,762","26,731","26,709","26,743","26,685","26,627","26,659"
