행정구역,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12
1,고성동,"7,204","7,112","7,089","7,087","7,101","7,074","7,039","7,026","7,012","6,951","6,970","6,936"
2,칠성동,"17,163","18,385","19,524","19,856","20,024","20,092","20,162","20,212","20,158","20,148","20,207","20,216"
3,침산1동,"5,917","5,885","5,843","5,802","5,799","5,769","5,803","5,792","5,787","5,762","5,713","5,685"
4,침산2동,"17,053","17,038","16,969","16,974","16,965","16,952","16,952","16,944","16,956","16,973","17,034","17,065"
5,침산3동,"20,989","20,920","20,873","20,921","20,843","20,837","20,843","20,817","20,777","20,739","20,720","20,644"
6,산격1동,"12,869","12,846","12,768","12,674","12,594","12,554","12,500","12,501","12,484","12,437","12,422","12,390"
7,산격2동,"13,582","13,596","13,593","13,568","13,585","13,586","13,543","13,500","13,509","13,500","13,496","13,467"
8,산격3동,"9,951","9,949","9,925","9,920","9,906","9,922","9,907","9,925","9,942","9,936","9,930","9,952"
9,산격4동,"10,587","10,549","10,537","10,486","10,437","10,428","10,440","10,409","10,416","10,391","10,396","10,324"
10,대현동,"18,263","18,246","18,221","18,198","18,120","18,108","18,080","17,985","17,788","17,683","17,630","17,620"
11,복현1동,"7,647","7,623","7,619","7,614","7,623","7,583","7,565","7,564","7,600","7,548","7,508","7,464"
12,복현2동,"28,790","28,806","28,723","28,686","28,701","28,806","28,843","28,911","28,950","28,911","28,886","28,832"
13,검단동,"9,046","9,038","9,038","9,062","9,026","9,039","9,033","9,039","9,025","9,006","8,963","8,913"
14,무태조야동,"32,100","31,997","31,971","32,054","32,014","32,063","32,019","32,026","32,025","31,939","31,918","31,905"
15,관문동,"18,248","18,180","18,144","18,111","18,167","18,134","18,112","18,109","18,109","18,079","18,063","18,065"
16,태전1동,"24,047","24,129","24,166","24,149","24,117","24,173","24,145","24,082","24,086","24,043","24,028","23,911"
17,태전2동,"26,372","26,333","26,282","26,258","26,214","26,209","26,207","26,200","26,191","26,221","26,208","26,161"
18,구암동,"42,772","42,768","42,682","42,698","42,653","42,614","42,641","42,563","42,610","42,613","42,555","42,434"
19,관음동,"22,000","21,945","21,923","21,911","21,924","21,892","21,843","21,813","21,794","21,785","21,768","21,805"
20,읍내동,"29,699","29,712","29,702","29,748","29,734","29,724","29,767","29,775","29,752","29,825","29,906","29,853"
21,동천동,"32,975","32,890","32,894","32,815","32,864","32,871","32,852","32,913","32,916","32,918","32,904","32,845"
22,노원동,"12,528","12,464","12,384","12,333","12,268","12,226","12,181","12,132","12,103","12,033","12,000","11,976"
23,국우동,"26,827","26,742","26,666","26,720","26,764","26,817","26,819","26,844","26,880","26,880","26,856","26,876"
