행정구역,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12
1,성당동,"26,232","26,166","26,111","26,033","25,990","25,977","25,911","25,835","25,809","25,808","25,780","25,762"
2,두류1.2동,"17,513","17,503","17,463","17,409","17,423","17,386","17,272","17,206","17,127","17,033","17,000","16,961"
3,두류3동,"10,502","10,454","10,395","10,349","10,297","10,294","10,269","10,258","10,246","10,231","10,210","10,167"
4,감삼동,"29,368","29,353","29,234","29,187","29,075","29,021","28,904","28,809","28,728","28,663","28,630","28,596"
5,죽전동,"16,431","16,381","16,380","16,319","16,279","16,251","16,202","16,125","16,067","16,098","16,060","16,023"
6,장기동,"17,860","17,804","17,782","17,729","17,719","17,676","17,558","17,571","17,655","17,719","17,751","17,710"
7,용산1동,"35,082","34,967","34,903","34,850","34,855","34,805","34,706","34,508","34,443","34,313","34,179","34,116"
8,용산2동,"33,307","33,144","33,018","33,009","32,922","32,849","32,657","32,547","32,422","32,359","32,309","32,143"
9,이곡1동,"26,326","26,198","26,100","26,031","26,015","26,015","25,843","25,634","25,624","25,650","25,540","25,449"
10,이곡2동,"18,728","18,652","18,563","18,543","18,503","18,492","18,363","18,244","18,212","18,151","18,042","18,021"
11,신당동,"35,959","35,785","35,611","35,479","35,437","35,357","35,198","35,056","34,990","34,936","34,799","34,647"
12,본리동,"24,408","24,295","24,242","24,158","24,076","24,048","23,983","23,841","23,800","23,760","23,694","23,648"
13,월성1동,"42,413","42,375","42,356","42,350","42,353","42,410","43,061","43,814","44,162","44,449","44,546","44,693"
14,월성2동,"19,187","19,127","19,054","18,998","18,958","18,952","18,916","18,798","18,707","18,661","18,552","18,485"
15,진천동,"64,267","64,171","64,112","64,019","63,832","63,793","65,431","66,981","67,431","67,835","68,056","68,057"
16,상인1동,"43,814","43,678","43,547","43,387","43,353","43,363","43,061","42,853","42,774","42,692","42,579","42,401"
17,상인2동,"23,429","23,340","23,194","23,098","22,921","22,791","22,594","22,268","21,959","21,652","21,478","21,284"
18,상인3동,"13,681","13,668","13,606","13,516","13,442","13,413","13,385","13,330","13,293","13,245","13,224","13,210"
19,도원동,"41,471","41,360","41,206","41,162","41,143","41,099","40,930","40,735","40,677","40,600","40,544","40,476"
20,송현1동,"22,205","22,139","22,023","21,955","21,887","21,828","21,730","21,633","21,516","21,447","21,387","21,293"
21,송현2동,"21,696","21,644","21,644","21,558","21,534","21,480","21,352","21,280","21,259","21,211","21,110","21,057"
22,본동,"15,244","15,198","15,121","15,042","15,039","14,967","14,853","14,711","14,676","14,617","14,576","14,550"
