행정구역,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12
1,동인동,"10,293","10,285","10,258","10,275","10,258","10,256","10,282","10,264","10,254","10,232","10,236","10,217"
2,삼덕동,"6,429","6,493","6,517","6,532","6,558","6,565","6,594","6,578","6,592","6,597","6,576","6,623"
3,성내1동,"4,519","4,500","4,529","4,555","4,562","4,576","4,583","4,594","4,587","4,605","4,576","4,612"
4,성내2동,"5,028","5,035","5,025","4,991","4,977","4,961","4,962","4,939","4,907","4,899","4,922","4,910"
5,성내3동,"3,718","3,720","3,699","3,711","3,693","3,702","3,693","3,671","3,666","3,658","3,649","3,645"
6,대신동,"4,803","4,765","4,756","4,765","4,767","4,768","4,764","4,734","4,684","4,680","4,689","4,672"
7,남산1동,"4,036","4,036","3,987","3,995","3,978","3,955","3,980","4,566","4,879","5,066","5,152","5,160"
8,남산2동,"4,722","4,723","4,718","4,733","4,730","4,769","4,772","4,754","4,707","4,712","4,708","4,719"
9,남산3동,"5,154","5,137","5,106","5,108","5,934","6,679","7,027","7,199","7,249","7,340","7,385","7,446"
10,남산4동,"14,273","14,277","14,271","14,196","14,131","14,054","13,990","13,945","13,962","13,940","13,930","13,941"
11,대봉1동,"7,526","7,537","7,562","7,576","7,567","7,551","7,547","7,530","7,487","7,510","7,506","7,524"
12,대봉2동,"4,021","3,996","3,979","3,995","4,003","3,968","3,943","3,953","3,942","3,927","3,910","3,881"
