행정구역,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12
1,고성동,"5,106","5,100","5,064","5,030","5,043","5,020","5,031","5,017","5,015","4,983","4,970","4,954"
2,칠성동,"23,059","23,310","23,472","23,526","23,530","23,530","23,554","23,587","23,584","23,586","23,608","23,600"
3,침산1동,"4,581","4,565","4,533","4,512","4,514","4,488","4,456","4,444","4,424","4,429","4,429","4,419"
4,침산2동,"19,689","19,814","19,854","19,867","19,941","19,957","19,948","19,969","19,955","19,946","19,925","19,943"
5,침산3동,"20,997","21,004","20,989","21,057","21,047","21,056","21,080","21,089","21,087","21,100","21,108","21,062"
6,산격1동,"10,424","10,387","10,360","10,346","10,296","10,260","10,231","10,182","10,164","10,127","10,111","10,064"
7,산격2동,"11,963","11,927","11,889","11,920","11,856","11,877","11,915","11,850","11,827","11,806","11,778","11,791"
8,산격3동,"8,853","8,834","8,834","8,867","8,833","8,813","8,792","8,793","8,795","8,813","8,752","8,728"
9,산격4동,"8,982","8,991","8,987","8,945","8,948","8,959","8,921","8,935","8,931","8,911","8,884","8,893"
10,대현동,"19,187","19,179","19,170","19,152","19,134","19,059","19,002","18,952","18,947","18,938","18,898","18,780"
11,복현1동,"7,023","7,009","7,050","7,054","7,065","7,051","7,064","7,078","7,074","7,115","7,139","7,111"
12,복현2동,"30,104","30,046","29,887","29,738","29,509","29,142","28,888","28,768","28,641","28,503","28,458","28,369"
13,검단동,"7,477","7,454","7,434","7,400","7,379","7,424","7,400","7,380","7,371","7,365","7,354","7,302"
14,무태조야동,"28,843","28,780","28,731","28,708","28,727","28,785","28,766","28,718","28,699","28,627","28,645","28,614"
15,관문동,"29,876","29,848","30,000","30,021","30,047","30,062","30,078","30,740","31,562","31,827","31,975","32,030"
16,태전1동,"23,216","23,161","23,124","23,095","23,077","23,049","23,083","23,124","23,143","23,149","23,077","23,075"
17,태전2동,"26,094","26,089","26,112","26,159","26,139","26,116","26,087","26,004","25,913","25,865","25,779","25,713"
18,구암동,"38,505","38,455","38,398","38,308","38,334","38,361","38,391","38,365","38,302","38,207","38,160","37,997"
19,관음동,"18,653","18,543","18,540","18,464","18,418","18,395","18,379","18,301","18,240","18,219","18,162","18,148"
20,읍내동,"27,080","27,089","27,028","27,021","26,989","26,943","26,957","26,898","26,854","27,165","27,441","27,640"
21,동천동,"30,530","30,498","30,522","30,529","30,469","30,505","30,508","30,431","30,407","30,371","30,316","30,229"
22,노원동,"13,014","13,150","13,257","13,294","13,337","13,396","13,407","13,419","13,427","13,427","13,412","13,369"
23,국우동,"25,267","25,262","25,224","25,232","25,160","25,138","25,110","25,045","24,982","24,923","24,905","24,921"
