행정구역,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12
1,범어1동,"18,564","18,637","18,595","18,616","18,600","18,573","18,500","18,490","18,501","18,517","18,598","18,653"
2,범어2동,"13,847","13,893","13,943","13,903","13,906","13,946","13,966","14,008","14,059","14,667","14,966","15,108"
3,범어3동,"12,165","12,292","12,358","12,417","12,466","12,413","12,400","12,428","12,462","12,428","12,468","12,409"
4,범어4동,"19,671","19,735","19,783","19,761","19,767","19,761","19,852","19,866","19,935","20,081","20,017","19,968"
5,만촌1동,"26,167","26,199","26,184","26,188","26,155","26,018","26,004","25,982","25,925","25,897","25,909","25,867"
6,만촌2동,"13,227","13,215","13,216","13,245","13,213","13,192","13,148","13,155","13,134","13,143","13,153","13,105"
7,만촌3동,"22,397","22,280","22,093","21,964","21,851","21,754","21,622","21,499","21,371","21,228","21,208","21,136"
8,수성1가동,"18,249","18,254","18,222","18,195","18,138","18,103","18,064","18,033","17,993","17,943","17,910","17,873"
9,수성2.3가동,"13,339","13,333","13,336","13,407","13,452","13,523","13,552","13,565","13,558","13,505","13,539","13,520"
10,수성4가동,"17,434","17,490","17,457","17,471","17,469","17,387","17,363","17,289","17,280","17,250","17,240","17,237"
11,황금1동,"25,867","25,876","25,839","25,813","25,760","25,706","25,750","25,736","25,779","25,763","25,762","25,705"
12,황금2동,"12,996","12,987","12,975","13,003","12,984","12,909","12,857","12,832","12,807","12,767","12,748","12,775"
13,중동,"13,434","13,407","13,420","13,452","13,401","13,390","13,337","13,297","13,321","13,308","13,328","13,316"
14,상동,"17,196","17,241","17,284","17,318","17,371","17,447","17,502","17,478","17,475","17,543","17,698","17,805"
15,파동,"13,337","13,289","13,278","13,242","13,223","13,211","13,566","14,123","14,386","14,677","14,821","14,857"
16,두산동,"14,140","14,187","14,158","14,179","14,273","14,298","14,343","14,376","14,376","14,441","14,488","14,584"
17,지산1동,"26,171","26,107","26,017","25,952","25,944","25,906","25,880","25,842","25,825","25,758","25,777","25,688"
18,지산2동,"23,552","23,511","23,483","23,471","23,466","23,423","23,405","23,319","23,322","23,277","23,272","23,231"
19,범물1동,"14,671","14,637","14,659","14,634","14,583","14,541","14,496","14,433","14,397","14,369","14,331","14,260"
20,범물2동,"18,747","18,745","18,690","18,691","18,672","18,607","18,547","18,554","18,526","18,462","18,426","18,436"
21,고산1동,"36,169","36,412","36,427","36,478","36,515","36,412","36,440","36,477","36,545","36,503","36,582","36,447"
22,고산2동,"29,886","29,899","29,740","29,648","29,642","29,582","29,563","29,577","29,545","29,489","29,495","29,419"
23,고산3동,"35,446","35,654","35,731","35,961","36,024","36,124","36,191","36,186","36,212","36,091","36,076","36,545"
