행정구역,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
1,이천동,"12,694","12,551","12,509","12,461","12,402","12,332","12,293","12,287","12,257","12,203","12,167","12,147"
2,봉덕1동,"9,110","9,110","9,151","9,126","9,116","9,080","9,111","9,123","9,109","9,140","9,099","9,098"
3,봉덕2동,"10,799","10,777","10,786","10,766","10,732","10,744","10,692","10,673","10,651","10,851","11,546","11,893"
4,봉덕3동,"16,816","16,854","16,899","16,901","16,895","16,912","16,953","16,979","16,984","16,894","16,879","16,871"
5,대명1동,"11,592","11,606","11,608","11,597","11,568","11,520","11,522","11,540","11,559","11,567","11,544","11,529"
6,대명2동,"11,270","11,260","11,293","11,318","11,332","11,317","11,219","11,092","10,909","10,758","10,658","10,576"
7,대명3동,"11,053","11,023","11,031","11,047","11,048","11,005","11,006","11,006","11,007","10,979","10,942","10,909"
8,대명4동,"11,243","11,214","11,207","11,189","11,181","11,141","11,140","11,135","11,144","11,111","11,091","11,110"
9,대명5동,"8,062","8,071","8,136","8,139","8,144","8,111","8,037","7,944","7,803","7,583","7,397","7,292"
10,대명6동,"9,599","9,625","9,618","9,625","9,619","9,617","9,633","9,651","9,643","9,647","9,608","9,554"
11,대명9동,"15,739","15,763","15,797","15,806","15,838","15,806","15,823","15,836","15,827","15,840","15,838","15,811"
12,대명10동,"9,301","9,319","9,316","9,306","9,290","9,306","9,298","9,348","9,336","9,323","9,283","9,239"
13,대명11동,"8,475","8,455","8,452","8,416","8,419","8,429","8,458","8,446","8,466","8,457","8,456","8,440"
