행정구역,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12
1,성당동,"26,868","26,873","26,796","26,849","26,784","26,716","26,681","26,665","26,687","26,720","26,702","26,694"
2,두류1.2동,"18,148","18,162","18,213","18,240","18,219","18,126","18,125","18,130","18,094","18,070","17,987","17,951"
3,두류3동,"10,923","10,899","10,912","10,920","10,889","10,874","10,866","10,840","10,848","10,827","10,827","10,842"
4,감삼동,"28,241","28,311","28,262","28,282","28,781","29,498","29,705","29,812","29,861","29,910","30,045","30,006"
5,죽전동,"16,938","16,977","17,001","17,033","16,961","16,820","16,771","16,762","16,804","16,798","16,804","16,789"
6,장기동,"18,826","18,872","18,865","18,869","18,832","18,702","18,664","18,647","18,681","18,652","18,625","18,670"
7,용산1동,"35,620","35,628","35,639","35,734","35,665","35,636","35,710","35,819","35,803","35,766","35,726","35,744"
8,용산2동,"34,475","34,505","34,522","34,487","34,437","34,272","34,288","34,303","34,251","34,223","34,232","34,266"
9,이곡1동,"27,411","27,382","27,340","27,338","27,323","27,300","27,278","27,281","27,305","27,277","27,251","27,232"
10,이곡2동,"19,587","19,543","19,487","19,486","19,503","19,454","19,402","19,427","19,368","19,363","19,335","19,333"
11,신당동,"37,691","37,781","37,874","37,952","37,939","37,879","37,884","37,834","37,806","37,820","37,753","37,511"
12,본리동,"24,568","24,638","24,706","24,715","24,726","24,712","24,662","24,702","24,697","24,681","24,655","24,647"
13,월성1동,"39,680","39,695","39,681","39,734","39,721","39,740","39,820","39,877","39,883","39,925","39,997","40,088"
14,월성2동,"20,570","20,531","20,474","20,455","20,408","20,383","20,389","20,336","20,358","20,300","20,262","20,235"
15,진천동,"55,625","55,712","55,681","55,718","58,042","59,569","60,232","60,585","60,788","61,040","61,134","61,183"
16,상인1동,"45,172","45,147","45,112","45,038","44,879","44,755","44,718","44,732","44,834","44,855","44,807","44,813"
17,상인2동,"24,718","24,732","24,779","24,751","24,580","24,514","24,422","24,444","24,446","24,413","24,431","24,418"
18,상인3동,"15,248","15,222","15,187","15,154","15,070","14,989","14,933","14,884","14,842","14,814","14,822","14,766"
19,도원동,"41,685","41,580","41,575","41,521","41,316","41,230","41,245","41,205","41,171","41,162","41,156","41,047"
20,송현1동,"23,000","22,976","22,921","22,994","22,945","22,924","22,997","22,968","22,970","22,971","22,956","22,959"
21,송현2동,"22,632","22,698","22,707","22,721","22,616","22,508","22,457","22,519","22,571","22,539","22,555","22,545"
22,본동,"15,749","15,718","15,716","15,681","15,614","15,562","15,493","15,508","15,499","15,567","15,579","15,549"
