행정구역,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
1,범어1동,"16,612","16,614","16,609","16,546","16,529","16,477","16,386","16,383","16,344","16,320","16,279","16,269"
2,범어2동,"15,433","15,412","15,456","15,433","15,374","15,314","15,349","15,584","15,711","15,841","15,860","15,919"
3,범어3동,"16,352","16,431","16,446","16,435","16,415","16,394","16,417","16,387","16,395","16,392","16,368","16,335"
4,범어4동,"18,960","18,915","18,847","18,794","18,852","18,908","18,878","18,916","18,943","19,020","18,948","18,931"
5,만촌1동,"23,644","23,606","23,579","23,512","23,464","23,426","23,384","23,366","23,312","23,194","23,128","23,126"
6,만촌2동,"11,766","11,701","11,655","11,623","11,584","11,564","11,535","11,505","11,477","11,449","11,421","11,395"
7,만촌3동,"20,245","20,527","20,572","20,560","20,486","20,481","20,493","20,481","20,482","20,466","20,449","20,363"
8,수성1가동,"18,849","18,885","18,878","18,828","18,797","18,788","18,762","18,774","18,753","18,709","18,663","18,593"
9,수성2.3가동,"12,361","12,371","12,343","12,340","12,301","12,240","12,203","12,200","12,185","12,137","12,128","12,137"
10,수성4가동,"15,576","15,531","15,461","15,351","15,269","15,219","15,190","15,223","15,207","15,156","15,098","15,057"
11,황금1동,"24,660","24,701","24,616","24,580","24,498","24,507","24,474","24,419","24,387","24,362","24,342","24,322"
12,황금2동,"11,356","11,283","11,318","11,295","11,284","11,233","11,224","11,178","11,163","11,122","11,087","11,042"
13,중동,"10,137","10,548","11,077","11,364","11,620","11,733","11,769","11,740","11,644","11,487","11,329","11,160"
14,상동,"16,850","16,818","16,801","16,782","16,780","16,773","16,795","16,790","16,768","16,776","16,735","16,766"
15,파동,"13,470","13,293","13,146","13,029","12,965","12,876","12,859","12,849","12,783","12,751","12,685","12,606"
16,두산동,"14,047","14,005","14,088","14,123","14,148","14,146","14,207","14,208","14,181","14,122","14,048","14,040"
17,지산1동,"22,960","22,899","22,907","22,856","22,798","22,797","22,760","22,722","22,683","22,577","22,470","22,416"
18,지산2동,"19,598","19,517","19,509","19,454","19,395","19,345","19,301","19,244","19,213","19,132","19,056","19,027"
19,범물1동,"11,978","11,954","11,890","11,858","11,808","11,776","11,779","11,773","11,723","11,691","11,625","11,592"
20,범물2동,"15,967","15,899","15,837","15,839","15,744","15,709","15,665","15,628","15,636","16,102","16,698","17,109"
21,고산1동,"32,099","32,061","31,993","31,884","31,852","31,854","31,812","31,752","31,672","31,666","31,560","31,471"
22,고산2동,"27,993","27,997","28,026","28,060","28,023","28,013","28,024","28,009","27,967","27,902","27,807","27,655"
23,고산3동,"34,773","34,699","34,690","34,630","34,556","34,466","34,475","34,437","34,455","34,405","34,315","34,105"
