행정구역,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12
1,성당동,"26,612","26,653","26,592","26,577","26,603","26,631","26,657","26,744","26,817","26,850","26,759","26,806"
2,두류1.2동,"18,295","18,296","18,257","18,262","18,189","18,192","18,184","18,203","18,216","18,194","18,182","18,171"
3,두류3동,"10,956","10,957","10,923","10,859","10,893","10,923","10,934","10,979","10,918","10,892","10,957","10,955"
4,감삼동,"27,707","27,673","27,746","27,680","27,739","27,826","27,874","27,995","28,043","28,085","28,148","28,264"
5,죽전동,"16,867","16,933","16,948","16,973","16,933","16,961","17,011","17,021","17,024","16,991","16,965","16,947"
6,장기동,"18,907","18,953","18,963","18,937","18,926","18,929","18,929","18,894","18,876","18,892","18,882","18,833"
7,용산1동,"35,731","35,697","35,623","35,577","35,633","35,593","35,559","35,583","35,584","35,598","35,659","35,590"
8,용산2동,"34,841","34,796","34,726","34,674","34,684","34,619","34,594","34,609","34,547","34,524","34,495","34,446"
9,이곡1동,"27,627","27,668","27,524","27,465","27,410","27,450","27,503","27,467","27,496","27,456","27,417","27,396"
10,이곡2동,"19,875","19,835","19,762","19,749","19,751","19,705","19,697","19,654","19,638","19,601","19,611","19,599"
11,신당동,"38,098","38,205","38,130","38,034","37,982","37,970","37,870","37,792","37,824","37,816","37,763","37,764"
12,본리동,"23,561","23,611","23,594","23,713","23,874","23,967","24,084","24,253","24,299","24,379","24,488","24,500"
13,월성1동,"39,722","39,819","39,755","39,734","39,700","39,729","39,753","39,721","39,706","39,656","39,561","39,676"
14,월성2동,"21,094","21,042","21,002","20,955","20,937","20,875","20,819","20,792","20,753","20,745","20,684","20,613"
15,진천동,"54,020","53,940","53,954","53,948","54,101","54,127","54,205","54,614","55,015","55,238","55,483","55,514"
16,상인1동,"45,111","45,132","45,115","45,112","45,098","45,135","45,141","45,200","45,261","45,258","45,260","45,247"
17,상인2동,"24,842","24,802","24,830","24,830","24,822","24,839","24,866","24,865","24,834","24,898","24,869","24,769"
18,상인3동,"15,737","15,709","15,603","15,564","15,552","15,494","15,501","15,499","15,458","15,403","15,362","15,290"
19,도원동,"42,259","42,123","42,063","42,033","41,926","41,911","41,919","41,892","41,816","41,763","41,756","41,677"
20,송현1동,"23,059","23,080","23,006","22,877","22,878","22,854","22,863","22,846","22,922","22,968","23,020","22,985"
21,송현2동,"22,721","22,656","22,663","22,693","22,734","22,702","22,691","22,652","22,632","22,603","22,537","22,568"
22,본동,"16,021","15,964","15,953","15,957","15,969","15,926","15,919","15,901","15,854","15,785","15,772","15,734"
