행정구역,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
1,성당동,"24,834","24,785","24,659","24,629","24,669","24,669","24,605","24,611","24,582","24,521","24,577","24,544"
2,두류1.2동,"15,919","15,905","15,792","15,732","15,690","15,676","15,652","15,600","15,525","15,463","15,399","15,376"
3,두류3동,"9,574","9,543","9,513","9,516","9,450","9,402","9,316","9,238","9,177","9,109","9,057","9,011"
4,감삼동,"27,806","27,802","27,775","27,750","27,773","27,776","27,805","27,833","27,851","27,820","27,819","27,774"
5,죽전동,"15,229","15,187","15,145","15,133","15,098","15,029","14,983","14,966","14,930","14,906","14,852","14,779"
6,장기동,"16,828","16,747","16,742","16,722","16,705","16,966","17,302","17,533","17,635","17,691","17,700","17,701"
7,용산1동,"32,827","32,715","32,636","32,579","32,556","32,525","32,519","32,514","32,468","32,491","32,384","32,276"
8,용산2동,"30,526","30,389","30,415","30,370","30,374","30,370","30,372","30,304","30,221","30,182","30,181","30,114"
9,이곡1동,"24,228","24,146","24,082","24,062","24,072","24,112","24,077","24,056","24,049","24,007","23,964","23,906"
10,이곡2동,"17,140","17,106","17,053","17,025","16,993","16,962","16,947","16,943","16,906","16,900","16,806","16,767"
11,신당동,"32,213","32,094","32,037","32,026","32,041","31,992","31,945","31,906","31,852","31,747","31,714","31,683"
12,본리동,"22,390","22,319","22,317","22,272","22,243","22,256","22,184","22,213","22,199","22,168","22,155","22,116"
13,월성1동,"44,358","44,371","44,310","44,331","44,295","44,313","44,298","44,348","44,321","44,330","44,378","44,290"
14,월성2동,"17,356","17,233","17,209","17,167","17,134","17,074","17,041","17,056","16,997","16,936","16,900","16,814"
15,진천동,"73,753","74,972","75,450","76,230","76,494","76,690","76,780","76,807","76,910","77,450","77,478","77,390"
16,상인1동,"40,826","40,785","40,767","40,675","40,670","40,598","40,637","40,591","40,551","40,448","40,417","40,286"
17,상인2동,"20,001","19,874","19,835","19,797","19,824","19,822","19,815","19,766","19,783","19,752","19,751","20,080"
18,상인3동,"12,005","11,962","11,929","11,874","11,844","11,832","11,836","11,839","11,819","11,787","11,778","11,731"
19,도원동,"38,187","37,988","37,888","37,835","37,792","37,728","37,658","37,599","37,565","37,429","37,387","37,260"
20,송현1동,"19,964","19,898","19,897","19,911","19,862","19,852","19,868","19,869","19,895","19,859","19,821","19,786"
21,송현2동,"19,709","19,633","19,501","19,349","19,134","19,082","19,052","18,984","18,963","18,884","18,835","18,815"
22,본동,"13,888","13,882","13,856","13,830","13,811","13,747","13,716","13,691","13,604","13,550","13,532","13,494"
