행정구역,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12
1,동인동,"10,499","10,482","10,480","10,509","10,467","10,414","10,452","10,425","10,354","10,374","10,369","10,331"
2,삼덕동,"4,533","4,552","4,544","4,862","5,699","6,058","6,189","6,274","6,306","6,370","6,422","6,411"
3,성내1동,"4,518","4,545","4,563","4,524","4,532","4,538","4,535","4,527","4,534","4,531","4,524","4,529"
4,성내2동,"5,087","5,061","5,058","5,051","5,050","5,051","5,086","5,068","5,072","5,067","5,071","5,061"
5,성내3동,"3,847","3,841","3,823","3,813","3,822","3,820","3,815","3,771","3,740","3,728","3,710","3,731"
6,대신동,"4,993","4,995","4,997","5,004","4,990","4,941","4,907","4,884","4,872","4,864","4,850","4,815"
7,남산1동,"4,127","4,122","4,130","4,132","4,130","4,124","4,113","4,098","4,069","4,061","4,070","4,056"
8,남산2동,"4,788","4,784","4,757","4,732","4,729","4,724","4,711","4,731","4,710","4,718","4,726","4,714"
9,남산3동,"5,250","5,257","5,264","5,251","5,230","5,224","5,230","5,211","5,223","5,207","5,189","5,169"
10,남산4동,"14,403","14,424","14,432","14,419","14,389","14,385","14,358","14,350","14,347","14,336","14,318","14,308"
11,대봉1동,"7,613","7,622","7,600","7,605","7,571","7,553","7,558","7,595","7,581","7,561","7,527","7,556"
12,대봉2동,"4,110","4,116","4,127","4,134","4,117","4,104","4,105","4,088","4,093","4,058","4,036","4,029"
