읍면동
중앙동
동광동
대청동
보수동
부평동
광복동
남포동
영주제1동
영주제2동
동대신제1동
동대신제2동
동대신제3동
서대신제1동
서대신제3동
서대신제4동
부민동
아미동
초장동
충무동
남부민제1동
남부민제2동
암남동
초량제1동
초량제2동
초량제3동
초량제6동
수정제1동
수정제2동
수정제4동
수정제5동
좌천동
범일제1동
범일제2동
범일제5동
남항동
영선제1동
영선제2동
신선동
봉래제1동
봉래제2동
청학제1동
청학제2동
동삼제1동
동삼제2동
동삼제3동
부전제1동
부전제2동
연지동
초읍동
양정제1동
양정제2동
전포제1동
전포제2동
부암제1동
부암제3동
당감제1동
당감제2동
당감제4동
가야제1동
가야제2동
개금제1동
개금제2동
개금제3동
범천제1동
범천제2동
수민동
복산동
명륜동
온천제1동
온천제2동
온천제3동
사직제1동
사직제2동
사직제3동
안락제1동
안락제2동
명장제1동
명장제2동
대연제1동
대연제3동
대연제4동
대연제5동
대연제6동
용호제1동
용호제2동
용호제3동
용호제4동
용당동
감만제1동
감만제2동
우암동
문현제1동
문현제2동
문현제3동
문현제4동
구포제1동
구포제2동
구포제3동
금곡동
화명제1동
화명제2동
화명제3동
덕천제1동
덕천제2동
덕천제3동
만덕제1동
만덕제2동
만덕제3동
우제1동
우제2동
우제3동
중제1동
중제2동
좌제1동
좌제2동
좌제3동
좌제4동
송정동
반여제1동
반여제2동
반여제3동
반여제4동
반송제1동
반송제2동
재송제1동
재송제2동
괴정제1동
괴정제2동
괴정제3동
괴정제4동
당리동
하단제1동
하단제2동
신평제1동
신평제2동
장림제1동
장림제2동
다대제1동
다대제2동
구평동
감천제1동
감천제2동
서제1동
서제2동
서제3동
금사회동동
부곡제1동
부곡제2동
부곡제3동
부곡제4동
장전제1동
장전제2동
선두구동
청룡노포동
남산동
구서제1동
구서제2동
금성동
대저1동
대저2동
강동동
명지1동
명지2동
가락동
녹산동
가덕도동
거제제1동
거제제2동
거제제3동
거제제4동
연산제1동
연산제2동
연산제3동
연산제4동
연산제5동
연산제6동
연산제8동
연산제9동
남천제1동
남천제2동
수영동
망미제1동
망미제2동
광안제1동
광안제2동
광안제3동
광안제4동
민락동
삼락동
모라제1동
모라제3동
덕포제1동
덕포제2동
괘법동
감전동
주례제1동
주례제2동
주례제3동
학장동
엄궁동
기장읍
장안읍
정관읍
일광면
철마면
