읍면동
강남동
교동
근화동
남면
남산면
동내면
동면
동산면
북산면
사북면
서면
석사동
소양동
신동면
신북읍
신사우동
약사명동
조운동
청운효자동
퇴계동
효자1동
효자2동
효자3동
후평1동
후평2동
후평3동
