"시점","행정구역(구군)별(1)",인구수 (명),인구수 (명),인구수 (명),용도지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢)
"시점","행정구역(구군)별(1)",소계,도시지역 인구수,비도시지역 인구수,소계,소계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,미지정,소계,계획관리지역,생산관리지역,보전관리지역,농림지역,자연환경 보전지역,자연환경 보전지역
"시점","행정구역(구군)별(1)",소계,소계,소계,소계,소계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,중심,일반,근린,유통,소계,전용,일반,준공업,소계,보전,생산,자연,소계,소계,소계,소계,소계,소계,소계,자연환경 보전지역 지정비율 (%)
"시점","행정구역(구군)별(1)",소계,소계,소계,소계,소계,소계,소계,제1종전용,제2종전용,소계,제1종일반,제2종일반,제3종일반,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"2017","남구",153963,153963,-,17.43,17.43,8.10,-,-,-,8.06,2.03,4.89,1.14,0.04,1.05,-,0.40,0.65,-,-,-,-,-,8.28,-,-,8.28,-,-,-,-,-,-,-,-
"2017","북구",446201,446201,-,94.07,94.07,20.31,0.14,0.14,-,18.44,3.43,7.92,7.09,1.73,3.39,0.81,1.22,0.30,1.06,4.89,-,2.65,2.24,65.48,0.05,0.10,65.33,-,-,-,-,-,-,-,-
"2017","수성구",440743,440743,-,76.54,76.53,18.28,-,-,-,17.54,6.75,5.33,5.46,0.74,1.93,0.45,0.78,0.59,0.11,-,-,-,-,56.32,-,0.28,56.04,-,-,-,-,-,-,-,-
"2017","달서구",586532,586532,-,62.34,62.34,20.88,0.01,0.01,-,19.60,4.35,7.28,7.97,1.27,2.44,0.97,1.01,0.46,-,11.37,-,9.90,1.47,27.65,0.03,0.11,27.51,-,-,-,-,-,-,-,-
"2017","달성군",248890,157036,91854,426.68,376.38,21.72,0.23,0.02,0.21,16.24,4.91,8.03,3.30,5.25,1.36,-,1.20,0.11,0.05,19.69,-,17.28,2.41,333.61,24.88,14.69,294.04,-,50.30,-,0.23,-,37.07,13.00,25.84
"2018","합계",2489802,2467511,22291,883.52,797.92,121.13,0.51,0.28,0.23,105.44,26.36,45.51,33.57,15.18,18.28,6.88,6.30,3.68,1.42,41.01,-,33.35,7.65,617.50,37.98,15.59,563.93,-,85.60,-,0.23,-,37.07,48.30,56.42
"2018","중구",80225,80225,-,7.06,7.06,3.38,-,-,-,2.94,0.07,1.32,1.55,0.44,3.12,2.77,-,0.35,-,-,-,-,-,0.56,-,-,0.56,-,-,-,-,-,-,-,-
"2018","동구",353178,353178,-,182.16,146.86,20.85,0.12,0.10,0.02,15.51,4.63,5.34,5.53,5.22,3.70,1.88,1.00,0.61,0.20,0.98,-,0.57,0.41,121.34,13.02,0.40,107.92,-,35.30,-,-,-,-,35.30,100.00
"2018","서구",186796,186796,-,17.33,17.33,7.62,-,-,-,7.12,0.18,5.40,1.54,0.49,1.29,0.00,0.68,0.61,-,4.08,-,2.95,1.13,4.34,-,-,4.34,-,-,-,-,-,-,-,-
"2018","남구",151821,151821,-,17.43,17.43,8.10,-,-,-,8.06,2.03,4.89,1.14,0.04,1.05,-,0.40,0.65,-,-,-,-,-,8.28,-,-,8.28,-,-,-,-,-,-,-,-
"2018","북구",444616,444616,-,93.98,93.98,20.30,0.15,0.15,-,18.42,3.43,7.92,7.06,1.73,3.40,0.81,1.22,0.30,1.06,4.89,-,2.65,2.24,65.39,0.05,0.10,65.24,-,-,-,-,-,-,-,-
"2018","수성구",434399,434399,-,76.53,76.53,18.28,-,-,-,17.54,6.75,5.33,5.46,0.74,1.93,0.45,0.78,0.59,0.11,-,-,-,-,56.32,-,0.29,56.04,-,-,-,-,-,-,-,-
"2018","달서구",582422,582422,-,62.34,62.34,20.88,0.00,0.00,-,19.60,4.35,7.28,7.97,1.28,2.44,0.97,1.01,0.46,-,11.37,-,9.90,1.47,27.65,0.03,0.11,27.51,-,-,-,-,-,-,-,-
"2018","달성군",256345,234054,22291,426.69,376.38,21.72,0.23,0.02,0.21,16.24,4.91,8.03,3.30,5.25,1.35,-,1.20,0.11,0.05,19.69,-,17.28,2.41,333.62,24.88,14.69,294.05,-,50.30,-,0.23,-,37.07,13.00,25.84
"2019","합계",2468222,2445994,22228,883.52,799.33,121.05,0.51,0.28,0.23,105.43,26.31,45.57,33.55,15.10,18.38,6.88,6.39,3.68,1.42,41.21,-,33.40,7.81,618.69,37.95,16.14,564.60,-,84.19,-,-,-,35.89,48.30,57.37
"2019","중구",78219,78219,-,7.06,7.06,3.38,-,-,-,2.94,0.07,1.32,1.55,0.44,3.12,2.77,-,0.35,-,-,-,-,-,0.56,-,-,0.56,-,-,-,-,-,-,-,-
"2019","동구",347376,347376,-,182.15,146.85,20.85,0.12,0.10,0.02,15.51,4.63,5.34,5.53,5.22,3.70,1.88,1.00,0.61,0.20,0.98,-,0.57,0.41,121.33,12.99,0.40,107.94,-,35.30,-,-,-,-,35.30,100.00
"2019","서구",177758,177758,-,17.33,17.33,7.62,-,-,-,7.13,0.18,5.40,1.54,0.50,1.29,0.00,0.68,0.61,-,4.08,-,2.96,1.13,4.33,-,-,4.33,-,-,-,-,-,-,-,-
"2019","남구",149660,149660,-,17.43,17.43,8.11,-,-,-,8.06,2.03,4.89,1.14,0.04,1.05,-,0.40,0.65,-,-,-,-,-,8.28,-,-,8.28,-,-,-,-,-,-,-,-
"2019","북구",442943,442943,-,93.98,93.98,20.16,0.15,0.15,-,18.37,3.43,7.96,6.98,1.64,3.50,0.81,1.32,0.30,1.06,5.01,-,2.66,2.35,65.32,0.05,0.07,65.20,-,-,-,-,-,-,-,-
"2019","수성구",430334,430334,-,76.54,76.54,18.30,-,-,-,17.56,6.76,5.33,5.46,0.74,1.93,0.45,0.78,0.59,0.11,-,-,-,-,56.31,-,0.28,56.02,-,-,-,-,-,-,-,-
"2019","달서구",579352,579352,-,62.34,62.34,20.89,0.00,0.00,-,19.61,4.36,7.28,7.97,1.28,2.44,0.97,1.01,0.46,-,11.40,-,9.91,1.49,27.61,0.02,0.03,27.55,-,-,-,-,-,-,-,-
"2019","달성군",262580,240352,22228,426.69,377.80,21.75,0.23,0.02,0.21,16.27,4.84,8.05,3.37,5.25,1.35,-,1.20,0.11,0.05,19.73,-,17.29,2.44,334.97,24.88,15.37,294.72,-,48.89,-,-,-,35.89,13.00,26.59
