"행정구역","2019년01월_거주자 인구수","2019년01월_세대수","2019년01월_세대당 인구","2019년02월_거주자 인구수","2019년02월_세대수","2019년02월_세대당 인구","2019년03월_거주자 인구수","2019년03월_세대수","2019년03월_세대당 인구","2019년04월_거주자 인구수","2019년04월_세대수","2019년04월_세대당 인구","2019년05월_거주자 인구수","2019년05월_세대수","2019년05월_세대당 인구","2019년06월_거주자 인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년07월_거주자 인구수","2019년07월_세대수","2019년07월_세대당 인구","2019년08월_거주자 인구수","2019년08월_세대수","2019년08월_세대당 인구","2019년09월_거주자 인구수","2019년09월_세대수","2019년09월_세대당 인구","2019년10월_거주자 인구수","2019년10월_세대수","2019년10월_세대당 인구","2019년11월_거주자 인구수","2019년11월_세대수","2019년11월_세대당 인구","2019년12월_거주자 인구수","2019년12월_세대수","2019년12월_세대당 인구"
"대구광역시 중구 (2711000000)","77,757","37,348","          2.08","77,577","37,371","          2.08","77,386","37,311","          2.07","77,052","37,176","          2.07","76,732","37,078","          2.07","76,497","37,024","          2.07","76,402","37,030","          2.06","76,333","37,046","          2.06","76,275","37,040","          2.06","76,268","37,077","          2.06","76,190","37,096","          2.05","75,959","37,110","          2.05"
"대구광역시 중구 동인동(2711051700)","9,834","5,495","          1.79","9,811","5,497","          1.78","9,783","5,493","          1.78","9,621","5,419","          1.78","9,455","5,336","          1.77","9,355","5,302","          1.76","9,306","5,279","          1.76","9,273","5,270","          1.76","9,206","5,240","          1.76","9,165","5,224","          1.75","9,114","5,192","          1.76","9,072","5,180","          1.75"
"대구광역시 중구 삼덕동(2711054500)","6,472","3,612","          1.79","6,499","3,652","          1.78","6,527","3,674","          1.78","6,509","3,661","          1.78","6,479","3,660","          1.77","6,469","3,669","          1.76","6,473","3,679","          1.76","6,491","3,689","          1.76","6,498","3,695","          1.76","6,496","3,697","          1.76","6,500","3,705","          1.75","6,488","3,728","          1.74"
"대구광역시 중구 성내1동(2711056500)","4,772","2,958","          1.61","4,795","2,986","          1.61","4,788","2,994","          1.60","4,770","2,987","          1.60","4,788","2,999","          1.60","4,761","2,987","          1.59","4,777","2,994","          1.60","4,751","2,981","          1.59","4,767","2,986","          1.60","4,751","2,995","          1.59","4,750","3,015","          1.58","4,764","3,037","          1.57"
"대구광역시 중구 성내2동(2711057500)","4,611","2,766","          1.67","4,627","2,788","          1.66","4,631","2,797","          1.66","4,623","2,789","          1.66","4,603","2,780","          1.66","4,555","2,750","          1.66","4,491","2,714","          1.65","4,447","2,695","          1.65","4,448","2,686","          1.66","4,427","2,679","          1.65","4,439","2,680","          1.66","4,411","2,675","          1.65"
"대구광역시 중구 성내3동(2711058500)","5,663","2,716","          2.09","5,574","2,664","          2.09","5,479","2,619","          2.09","5,440","2,603","          2.09","5,349","2,569","          2.08","5,340","2,556","          2.09","5,319","2,547","          2.09","5,292","2,528","          2.09","5,267","2,506","          2.10","5,247","2,499","          2.10","5,244","2,496","          2.10","5,188","2,472","          2.10"
"대구광역시 중구 대신동(2711059500)","8,224","3,283","          2.51","8,195","3,284","          2.50","8,201","3,286","          2.50","8,213","3,285","          2.50","8,239","3,298","          2.50","8,222","3,293","          2.50","8,222","3,303","          2.49","8,235","3,311","          2.49","8,221","3,308","          2.49","8,257","3,318","          2.49","8,233","3,312","          2.49","8,242","3,328","          2.48"
"대구광역시 중구 남산1동(2711064000)","4,913","2,443","          2.01","4,895","2,445","          2.00","4,896","2,439","          2.01","4,884","2,439","          2.00","4,884","2,439","          2.00","4,927","2,502","          1.97","4,996","2,575","          1.94","5,088","2,654","          1.92","5,137","2,704","          1.90","5,146","2,723","          1.89","5,156","2,739","          1.88","5,160","2,753","          1.87"
"대구광역시 중구 남산2동(2711065000)","3,513","1,804","          1.95","3,508","1,814","          1.93","3,488","1,803","          1.93","3,464","1,792","          1.93","3,461","1,792","          1.93","3,402","1,764","          1.93","3,381","1,748","          1.93","3,348","1,728","          1.94","3,325","1,716","          1.94","3,335","1,717","          1.94","3,328","1,721","          1.93","3,290","1,709","          1.93"
"대구광역시 중구 남산3동(2711066000)","7,126","2,872","          2.48","7,090","2,860","          2.48","7,056","2,847","          2.48","7,041","2,857","          2.46","7,040","2,858","          2.46","7,008","2,855","          2.45","7,047","2,876","          2.45","7,061","2,889","          2.44","7,036","2,881","          2.44","7,038","2,886","          2.44","7,073","2,900","          2.44","7,078","2,910","          2.43"
"대구광역시 중구 남산4동(2711067000)","12,272","4,866","          2.52","12,275","4,865","          2.52","12,269","4,863","          2.52","12,252","4,867","          2.52","12,223","4,871","          2.51","12,243","4,875","          2.51","12,187","4,851","          2.51","12,165","4,840","          2.51","12,183","4,859","          2.51","12,190","4,867","          2.50","12,176","4,871","          2.50","12,147","4,866","          2.50"
"대구광역시 중구 대봉1동(2711068000)","7,732","3,251","          2.38","7,691","3,234","          2.38","7,674","3,220","          2.38","7,662","3,211","          2.39","7,648","3,211","          2.38","7,654","3,208","          2.39","7,655","3,212","          2.38","7,650","3,215","          2.38","7,668","3,215","          2.39","7,696","3,226","          2.39","7,690","3,223","          2.39","7,657","3,214","          2.38"
"대구광역시 중구 대봉2동(2711069000)","2,625","1,282","          2.05","2,617","1,282","          2.04","2,594","1,276","          2.03","2,573","1,266","          2.03","2,563","1,265","          2.03","2,561","1,263","          2.03","2,548","1,252","          2.04","2,532","1,246","          2.03","2,519","1,244","          2.02","2,520","1,246","          2.02","2,487","1,242","          2.00","2,462","1,238","          1.99"
