"행정구역","2022년01월_거주자 인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_거주자 인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_거주자 인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_거주자 인구수","2022년04월_세대수","2022년04월_세대당 인구"
"대구광역시 수성구 (2726000000)","414,794","169,795","          2.44","414,590","170,060","          2.44","413,928","170,305","          2.43","413,783","170,511","          2.43"
"대구광역시 수성구 범어1동(2726051000)","16,635","6,362","          2.61","16,563","6,347","          2.61","16,477","6,320","          2.61","16,435","6,311","          2.60"
"대구광역시 수성구 범어2동(2726052000)","15,439","6,922","          2.23","15,356","6,893","          2.23","15,303","6,899","          2.22","15,227","6,891","          2.21"
"대구광역시 수성구 범어3동(2726053000)","16,069","5,953","          2.70","16,543","6,128","          2.70","16,662","6,183","          2.69","16,716","6,206","          2.69"
"대구광역시 수성구 범어4동(2726054000)","19,893","6,650","          2.99","19,839","6,643","          2.99","19,802","6,653","          2.98","19,826","6,668","          2.97"
"대구광역시 수성구 만촌1동(2726055000)","22,696","8,939","          2.54","22,641","8,943","          2.53","22,533","8,926","          2.52","22,458","8,910","          2.52"
"대구광역시 수성구 만촌2동(2726056000)","10,921","5,015","          2.18","10,886","5,017","          2.17","10,851","5,035","          2.16","10,816","5,035","          2.15"
"대구광역시 수성구 만촌3동(2726056100)","19,582","6,822","          2.87","19,472","6,813","          2.86","19,419","6,863","          2.83","19,351","6,861","          2.82"
"대구광역시 수성구 수성1가동(2726057000)","17,886","7,135","          2.51","17,841","7,138","          2.50","17,715","7,114","          2.49","17,625","7,086","          2.49"
"대구광역시 수성구 수성2.3가동(2726058000)","11,815","4,666","          2.53","11,801","4,660","          2.53","11,757","4,651","          2.53","11,739","4,654","          2.52"
"대구광역시 수성구 수성4가동(2726059000)","14,467","5,822","          2.48","14,343","5,803","          2.47","14,260","5,780","          2.47","14,169","5,752","          2.46"
"대구광역시 수성구 황금1동(2726060100)","23,678","8,259","          2.87","23,574","8,245","          2.86","23,535","8,234","          2.86","23,415","8,215","          2.85"
"대구광역시 수성구 황금2동(2726060200)","10,665","5,548","          1.92","10,570","5,516","          1.92","10,564","5,519","          1.91","11,165","5,739","          1.95"
"대구광역시 수성구 중동(2726061000)","11,383","5,826","          1.95","11,869","5,984","          1.98","12,050","6,069","          1.99","12,196","6,117","          1.99"
"대구광역시 수성구 상동(2726062000)","16,138","7,820","          2.06","16,107","7,820","          2.06","16,043","7,807","          2.05","15,962","7,778","          2.05"
"대구광역시 수성구 파동(2726063000)","12,433","5,457","          2.28","12,396","5,455","          2.27","12,315","5,432","          2.27","12,281","5,409","          2.27"
"대구광역시 수성구 두산동(2726064000)","14,036","6,956","          2.02","14,034","6,973","          2.01","14,034","6,991","          2.01","14,025","7,007","          2.00"
"대구광역시 수성구 지산1동(2726065100)","21,695","10,522","          2.06","21,651","10,522","          2.06","21,558","10,512","          2.05","21,517","10,505","          2.05"
"대구광역시 수성구 지산2동(2726065200)","18,550","7,894","          2.35","18,521","7,881","          2.35","18,447","7,882","          2.34","18,352","7,864","          2.33"
"대구광역시 수성구 범물1동(2726066100)","11,241","5,923","          1.90","11,222","5,924","          1.89","11,200","5,932","          1.89","11,205","5,945","          1.88"
"대구광역시 수성구 범물2동(2726066200)","17,100","6,612","          2.59","17,041","6,608","          2.58","16,990","6,607","          2.57","16,932","6,584","          2.57"
"대구광역시 수성구 고산1동(2726067000)","30,649","11,167","          2.74","30,611","11,183","          2.74","30,901","11,350","          2.72","31,014","11,432","          2.71"
"대구광역시 수성구 고산2동(2726068000)","28,659","11,008","          2.60","28,680","11,050","          2.60","28,565","11,039","          2.59","28,518","11,039","          2.58"
"대구광역시 수성구 고산3동(2726069000)","33,164","12,517","          2.65","33,029","12,514","          2.64","32,947","12,507","          2.63","32,839","12,503","          2.63"
