"행정구역","2010년10월_거주자 인구수","2010년10월_세대수","2010년10월_세대당 인구","2010년11월_거주자 인구수","2010년11월_세대수","2010년11월_세대당 인구","2010년12월_거주자 인구수","2010년12월_세대수","2010년12월_세대당 인구"
"대구광역시 동구 (2714000000)","333,614","129,076","          2.58","333,817","129,316","          2.58","333,770","129,425","          2.58"
"대구광역시 동구 신암1동(2714051000)","14,219","5,999","          2.37","14,189","6,001","          2.36","14,150","6,002","          2.36"
"대구광역시 동구 신암2동(2714052000)","10,762","4,132","          2.60","10,863","4,179","          2.60","10,915","4,201","          2.60"
"대구광역시 동구 신암3동(2714053000)","10,396","4,440","          2.34","10,382","4,436","          2.34","10,375","4,435","          2.34"
"대구광역시 동구 신암4동(2714054000)","19,709","8,524","          2.31","19,681","8,527","          2.31","19,643","8,505","          2.31"
"대구광역시 동구 신암5동(2714054100)","9,452","3,631","          2.60","9,417","3,628","          2.60","9,374","3,634","          2.58"
"대구광역시 동구 신천1.2동(2714055500)","12,207","4,807","          2.54","12,186","4,795","          2.54","12,129","4,774","          2.54"
"대구광역시 동구 신천3동(2714057000)","12,885","4,969","          2.59","12,955","5,001","          2.59","13,195","5,076","          2.60"
"대구광역시 동구 신천4동(2714058000)","9,957","4,415","          2.26","9,954","4,436","          2.24","9,946","4,439","          2.24"
"대구광역시 동구 효목1동(2714059000)","17,263","6,876","          2.51","17,207","6,862","          2.51","17,095","6,837","          2.50"
"대구광역시 동구 효목2동(2714060000)","18,237","7,059","          2.58","18,130","7,046","          2.57","18,040","7,021","          2.57"
"대구광역시 동구 도평동(2714061500)","5,929","2,195","          2.70","5,893","2,194","          2.69","5,849","2,179","          2.68"
"대구광역시 동구 불로.봉무동(2714062000)","14,326","5,534","          2.59","14,337","5,556","          2.58","14,268","5,547","          2.57"
"대구광역시 동구 지저동(2714064000)","12,009","4,726","          2.54","11,987","4,716","          2.54","11,960","4,716","          2.54"
"대구광역시 동구 동촌동(2714065500)","14,479","5,776","          2.51","14,483","5,785","          2.50","14,429","5,775","          2.50"
"대구광역시 동구 방촌동(2714067000)","21,774","7,682","          2.83","21,747","7,686","          2.83","21,712","7,681","          2.83"
"대구광역시 동구 해안동(2714068500)","18,841","7,152","          2.63","18,801","7,135","          2.64","18,739","7,131","          2.63"
"대구광역시 동구 안심1동(2714072000)","36,517","14,640","          2.49","36,810","14,762","          2.49","37,054","14,843","          2.50"
"대구광역시 동구 안심2동(2714073000)","11,063","4,160","          2.66","11,016","4,141","          2.66","10,991","4,141","          2.65"
"대구광역시 동구 안심3.4동(2714074500)","46,674","15,938","          2.93","46,895","16,019","          2.93","47,062","16,085","          2.93"
"대구광역시 동구 공산동(2714076000)","16,915","6,421","          2.63","16,884","6,411","          2.63","16,844","6,403","          2.63"
