"행정구역","2022년01월_거주자 인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_거주자 인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_거주자 인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_거주자 인구수","2022년04월_세대수","2022년04월_세대당 인구"
"대구광역시 달성군 (2771000000)","261,826","111,059","          2.36","261,366","111,066","          2.35","261,810","111,408","          2.35","262,122","111,660","          2.35"
"대구광역시 달성군 화원읍(2771025000)","46,717","19,093","          2.45","46,545","19,065","          2.44","46,419","19,050","          2.44","46,303","19,026","          2.43"
"대구광역시 달성군 논공읍(2771025300)","4,752","2,449","          1.94","4,735","2,445","          1.94","4,719","2,437","          1.94","4,693","2,432","          1.93"
"대구광역시 달성군 논공읍공단출장소(2771025400)","13,064","6,395","          2.04","13,022","6,392","          2.04","13,007","6,386","          2.04","12,984","6,375","          2.04"
"대구광역시 달성군 다사읍(2771025600)","50,913","19,473","          2.61","50,804","19,465","          2.61","50,732","19,489","          2.60","50,627","19,487","          2.60"
"대구광역시 달성군 다사읍서재출장소(2771025700)","38,236","14,509","          2.64","38,150","14,487","          2.63","38,802","14,763","          2.63","39,359","15,020","          2.62"
"대구광역시 달성군 유가읍(2771025900)","29,553","11,286","          2.62","29,467","11,286","          2.61","29,447","11,268","          2.61","29,415","11,253","          2.61"
"대구광역시 달성군 옥포읍(2771026200)","25,201","11,220","          2.25","25,058","11,176","          2.24","24,961","11,156","          2.24","24,903","11,125","          2.24"
"대구광역시 달성군 현풍읍(2771026500)","23,036","11,934","          1.93","23,043","11,938","          1.93","23,116","12,018","          1.92","23,141","12,054","          1.92"
"대구광역시 달성군 가창면(2771031000)","7,762","3,756","          2.07","7,757","3,761","          2.06","7,737","3,756","          2.06","7,709","3,750","          2.06"
"대구광역시 달성군 하빈면(2771033000)","3,551","2,002","          1.77","3,549","2,012","          1.76","3,528","2,011","          1.75","3,518","2,014","          1.75"
"대구광역시 달성군 구지면(2771038000)","19,041","8,942","          2.13","19,236","9,039","          2.13","19,342","9,074","          2.13","19,470","9,124","          2.13"
