"행정구역","2010년10월_거주자 인구수","2010년10월_세대수","2010년10월_세대당 인구","2010년11월_거주자 인구수","2010년11월_세대수","2010년11월_세대당 인구","2010년12월_거주자 인구수","2010년12월_세대수","2010년12월_세대당 인구"
"대구광역시 남구 (2720000000)","168,923","72,064","          2.34","168,679","72,060","          2.34","168,202","71,854","          2.34"
"대구광역시 남구 이천동(2720051500)","15,796","6,392","          2.47","15,808","6,410","          2.47","15,750","6,386","          2.47"
"대구광역시 남구 봉덕1동(2720053000)","9,376","4,515","          2.08","9,308","4,483","          2.08","9,265","4,458","          2.08"
"대구광역시 남구 봉덕2동(2720054000)","12,534","4,924","          2.55","12,545","4,926","          2.55","12,560","4,928","          2.55"
"대구광역시 남구 봉덕3동(2720055000)","19,000","7,742","          2.45","19,062","7,780","          2.45","19,027","7,770","          2.45"
"대구광역시 남구 대명1동(2720056000)","12,295","4,965","          2.48","12,284","4,973","          2.47","12,249","4,941","          2.48"
"대구광역시 남구 대명2동(2720057100)","14,020","6,480","          2.16","13,972","6,479","          2.16","13,892","6,439","          2.16"
"대구광역시 남구 대명3동(2720058600)","15,541","6,991","          2.22","15,479","6,983","          2.22","15,400","6,934","          2.22"
"대구광역시 남구 대명4동(2720059000)","13,360","5,566","          2.40","13,321","5,564","          2.39","13,281","5,545","          2.40"
"대구광역시 남구 대명5동(2720060000)","9,440","4,300","          2.20","9,411","4,302","          2.19","9,400","4,294","          2.19"
"대구광역시 남구 대명6동(2720061000)","10,471","4,392","          2.38","10,448","4,389","          2.38","10,405","4,382","          2.37"
"대구광역시 남구 대명9동(2720064000)","16,339","7,034","          2.32","16,333","7,020","          2.33","16,288","7,020","          2.32"
"대구광역시 남구 대명10동(2720065000)","10,475","4,364","          2.40","10,466","4,365","          2.40","10,423","4,352","          2.39"
"대구광역시 남구 대명11동(2720066000)","10,276","4,399","          2.34","10,242","4,386","          2.34","10,262","4,405","          2.33"
