"행정구역","2011년01월_거주자 인구수","2011년01월_세대수","2011년01월_세대당 인구","2011년02월_거주자 인구수","2011년02월_세대수","2011년02월_세대당 인구","2011년03월_거주자 인구수","2011년03월_세대수","2011년03월_세대당 인구","2011년04월_거주자 인구수","2011년04월_세대수","2011년04월_세대당 인구","2011년05월_거주자 인구수","2011년05월_세대수","2011년05월_세대당 인구","2011년06월_거주자 인구수","2011년06월_세대수","2011년06월_세대당 인구","2011년07월_거주자 인구수","2011년07월_세대수","2011년07월_세대당 인구","2011년08월_거주자 인구수","2011년08월_세대수","2011년08월_세대당 인구","2011년09월_거주자 인구수","2011년09월_세대수","2011년09월_세대당 인구","2011년10월_거주자 인구수","2011년10월_세대수","2011년10월_세대당 인구","2011년11월_거주자 인구수","2011년11월_세대수","2011년11월_세대당 인구","2011년12월_거주자 인구수","2011년12월_세대수","2011년12월_세대당 인구"
"대구광역시 동구 (2714000000)","334,123","129,629","          2.58","335,032","130,069","          2.58","335,589","130,248","          2.58","336,643","130,699","          2.58","337,418","131,050","          2.57","337,893","131,324","          2.57","338,065","131,494","          2.57","338,393","131,690","          2.57","338,069","131,741","          2.57","338,078","131,980","          2.56","338,085","132,023","          2.56","337,763","132,048","          2.56"
"대구광역시 동구 신암1동(2714051000)","14,145","6,006","          2.36","14,101","6,007","          2.35","14,094","6,003","          2.35","14,056","6,001","          2.34","14,037","6,002","          2.34","14,021","6,011","          2.33","13,954","5,995","          2.33","13,947","5,980","          2.33","13,929","5,975","          2.33","13,862","5,963","          2.32","13,818","5,954","          2.32","13,768","5,944","          2.32"
"대구광역시 동구 신암2동(2714052000)","10,999","4,232","          2.60","11,028","4,244","          2.60","11,006","4,239","          2.60","10,994","4,246","          2.59","10,973","4,245","          2.58","10,967","4,244","          2.58","10,966","4,245","          2.58","10,927","4,244","          2.57","10,938","4,252","          2.57","10,942","4,254","          2.57","10,926","4,252","          2.57","10,919","4,245","          2.57"
"대구광역시 동구 신암3동(2714053000)","10,324","4,430","          2.33","10,277","4,426","          2.32","10,239","4,406","          2.32","10,257","4,413","          2.32","10,217","4,396","          2.32","10,245","4,415","          2.32","10,177","4,392","          2.32","10,147","4,387","          2.31","10,103","4,381","          2.31","10,059","4,360","          2.31","10,045","4,349","          2.31","10,056","4,353","          2.31"
"대구광역시 동구 신암4동(2714054000)","19,664","8,526","          2.31","19,691","8,544","          2.30","19,656","8,519","          2.31","19,546","8,475","          2.31","19,494","8,460","          2.30","19,460","8,462","          2.30","19,448","8,457","          2.30","19,368","8,435","          2.30","19,358","8,452","          2.29","19,418","8,492","          2.29","19,367","8,490","          2.28","19,395","8,520","          2.28"
"대구광역시 동구 신암5동(2714054100)","9,346","3,630","          2.57","9,344","3,638","          2.57","9,329","3,634","          2.57","9,328","3,647","          2.56","9,299","3,649","          2.55","9,238","3,637","          2.54","9,211","3,632","          2.54","9,174","3,630","          2.53","9,160","3,627","          2.53","9,140","3,632","          2.52","9,131","3,637","          2.51","9,094","3,622","          2.51"
"대구광역시 동구 신천1.2동(2714055500)","12,141","4,789","          2.54","12,699","5,034","          2.52","12,983","5,156","          2.52","13,929","5,509","          2.53","14,666","5,793","          2.53","14,815","5,858","          2.53","14,919","5,898","          2.53","14,988","5,922","          2.53","15,024","5,932","          2.53","15,033","5,949","          2.53","15,037","5,952","          2.53","15,052","5,966","          2.52"
"대구광역시 동구 신천3동(2714057000)","13,338","5,123","          2.60","13,436","5,155","          2.61","13,523","5,170","          2.62","13,497","5,161","          2.62","13,400","5,135","          2.61","13,337","5,110","          2.61","13,324","5,107","          2.61","13,324","5,121","          2.60","13,322","5,124","          2.60","13,295","5,134","          2.59","13,350","5,142","          2.60","13,326","5,139","          2.59"
"대구광역시 동구 신천4동(2714058000)","9,947","4,441","          2.24","9,943","4,457","          2.23","9,959","4,470","          2.23","9,939","4,464","          2.23","9,882","4,436","          2.23","9,868","4,423","          2.23","9,871","4,423","          2.23","9,896","4,419","          2.24","9,858","4,401","          2.24","9,853","4,411","          2.23","9,758","4,369","          2.23","9,750","4,355","          2.24"
"대구광역시 동구 효목1동(2714059000)","17,051","6,813","          2.50","17,005","6,821","          2.49","16,994","6,819","          2.49","16,957","6,818","          2.49","16,919","6,817","          2.48","16,931","6,820","          2.48","16,879","6,824","          2.47","16,784","6,799","          2.47","16,756","6,792","          2.47","16,681","6,787","          2.46","16,639","6,770","          2.46","16,581","6,760","          2.45"
