"행정구역","2022년01월_거주자 인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_거주자 인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_거주자 인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_거주자 인구수","2022년04월_세대수","2022년04월_세대당 인구"
"대구광역시 동구 (2714000000)","339,860","157,142","          2.16","339,892","157,464","          2.16","339,662","157,526","          2.16","339,298","157,662","          2.15"
"대구광역시 동구 신암1동(2714051000)","8,668","4,449","          1.95","8,806","4,500","          1.96","8,866","4,526","          1.96","8,901","4,543","          1.96"
"대구광역시 동구 신암2동(2714052000)","10,313","4,434","          2.33","10,270","4,430","          2.32","10,259","4,430","          2.32","10,237","4,429","          2.31"
"대구광역시 동구 신암3동(2714053000)","11,593","5,100","          2.27","11,668","5,114","          2.28","11,611","5,073","          2.29","11,527","5,027","          2.29"
"대구광역시 동구 신암4동(2714054000)","11,263","6,195","          1.82","11,221","6,176","          1.82","11,218","6,178","          1.82","11,190","6,194","          1.81"
"대구광역시 동구 신암5동(2714054100)","6,261","3,132","          2.00","6,229","3,125","          1.99","6,236","3,124","          2.00","6,207","3,116","          1.99"
"대구광역시 동구 신천1.2동(2714055500)","12,846","6,098","          2.11","12,820","6,096","          2.10","12,777","6,097","          2.10","12,722","6,084","          2.09"
"대구광역시 동구 신천3동(2714057000)","11,630","5,009","          2.32","11,565","5,010","          2.31","11,534","5,022","          2.30","11,749","5,176","          2.27"
"대구광역시 동구 신천4동(2714058000)","7,940","4,843","          1.64","8,211","4,957","          1.66","8,268","4,983","          1.66","8,318","5,040","          1.65"
"대구광역시 동구 효목1동(2714059000)","13,578","6,981","          1.94","13,536","6,986","          1.94","13,490","6,967","          1.94","13,433","6,939","          1.94"
"대구광역시 동구 효목2동(2714060000)","13,121","6,368","          2.06","13,098","6,375","          2.05","13,070","6,371","          2.05","13,043","6,366","          2.05"
"대구광역시 동구 도평동(2714061500)","3,965","2,031","          1.95","3,982","2,039","          1.95","3,980","2,046","          1.95","3,973","2,047","          1.94"
"대구광역시 동구 불로.봉무동(2714062000)","21,225","8,722","          2.43","21,157","8,732","          2.42","21,146","8,745","          2.42","21,073","8,735","          2.41"
"대구광역시 동구 지저동(2714064000)","14,378","6,898","          2.08","14,389","6,908","          2.08","14,360","6,901","          2.08","14,316","6,889","          2.08"
"대구광역시 동구 동촌동(2714065500)","15,488","7,726","          2.00","15,506","7,735","          2.00","15,496","7,752","          2.00","15,497","7,758","          2.00"
"대구광역시 동구 방촌동(2714067000)","18,715","8,339","          2.24","18,699","8,347","          2.24","18,689","8,362","          2.23","18,657","8,371","          2.23"
"대구광역시 동구 해안동(2714068500)","15,043","7,191","          2.09","15,080","7,206","          2.09","15,040","7,187","          2.09","15,025","7,197","          2.09"
"대구광역시 동구 안심1동(2714072000)","42,020","19,801","          2.12","41,876","19,800","          2.11","41,834","19,793","          2.11","41,758","19,782","          2.11"
"대구광역시 동구 안심2동(2714073000)","10,960","4,950","          2.21","10,939","4,951","          2.21","10,929","4,949","          2.21","10,932","4,956","          2.21"
"대구광역시 동구 안심3동(2714074200)","21,711","8,519","          2.55","21,869","8,605","          2.54","21,936","8,648","          2.54","21,941","8,665","          2.53"
"대구광역시 동구 안심4동(2714074700)","28,836","11,794","          2.44","28,789","11,811","          2.44","28,707","11,791","          2.43","28,605","11,758","          2.43"
"대구광역시 동구 혁신동(2714075500)","18,667","8,662","          2.16","18,541","8,650","          2.14","18,594","8,682","          2.14","18,616","8,705","          2.14"
"대구광역시 동구 공산동(2714076000)","21,639","9,900","          2.19","21,641","9,911","          2.18","21,622","9,899","          2.18","21,578","9,885","          2.18"
