"행정구역","2011년01월_거주자 인구수","2011년01월_세대수","2011년01월_세대당 인구","2011년02월_거주자 인구수","2011년02월_세대수","2011년02월_세대당 인구","2011년03월_거주자 인구수","2011년03월_세대수","2011년03월_세대당 인구","2011년04월_거주자 인구수","2011년04월_세대수","2011년04월_세대당 인구","2011년05월_거주자 인구수","2011년05월_세대수","2011년05월_세대당 인구","2011년06월_거주자 인구수","2011년06월_세대수","2011년06월_세대당 인구","2011년07월_거주자 인구수","2011년07월_세대수","2011년07월_세대당 인구","2011년08월_거주자 인구수","2011년08월_세대수","2011년08월_세대당 인구","2011년09월_거주자 인구수","2011년09월_세대수","2011년09월_세대당 인구","2011년10월_거주자 인구수","2011년10월_세대수","2011년10월_세대당 인구","2011년11월_거주자 인구수","2011년11월_세대수","2011년11월_세대당 인구","2011년12월_거주자 인구수","2011년12월_세대수","2011년12월_세대당 인구"
"대구광역시 달서구 (2729000000)","603,617","210,388","          2.87","603,791","210,664","          2.87","603,308","210,606","          2.86","602,992","210,655","          2.86","602,972","210,844","          2.86","602,736","210,884","          2.86","602,532","210,924","          2.86","602,738","211,196","          2.85","603,334","211,553","          2.85","603,495","211,747","          2.85","603,390","211,917","          2.85","603,095","212,054","          2.84"
"대구광역시 달서구 성당1동(2729051000)","9,009","3,943","          2.28","8,968","3,937","          2.28","8,915","3,923","          2.27","8,908","3,920","          2.27","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00"
"대구광역시 달서구 성당동(2729051500)","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","26,789","10,351","          2.59","26,784","10,360","          2.59","26,690","10,326","          2.58","26,667","10,319","          2.58","26,671","10,346","          2.58","26,666","10,347","          2.58","26,598","10,332","          2.57","26,602","10,343","          2.57"
"대구광역시 달서구 성당2동(2729052000)","18,080","6,471","          2.79","18,008","6,465","          2.79","17,944","6,435","          2.79","17,954","6,439","          2.79","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00"
"대구광역시 달서구 두류1동(2729053000)","6,792","2,808","          2.42","6,785","2,812","          2.41","6,743","2,781","          2.42","6,759","2,780","          2.43","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00"
"대구광역시 달서구 두류1.2동(2729053500)","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","18,599","7,961","          2.34","18,549","7,966","          2.33","18,512","7,983","          2.32","18,542","8,015","          2.31","18,513","8,006","          2.31","18,401","7,975","          2.31","18,339","7,972","          2.30","18,323","7,979","          2.30"
"대구광역시 달서구 두류2동(2729054000)","11,831","5,121","          2.31","11,849","5,141","          2.30","11,859","5,159","          2.30","11,825","5,158","          2.29","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00"
"대구광역시 달서구 두류3동(2729055000)","11,279","4,254","          2.65","11,249","4,245","          2.65","11,196","4,232","          2.65","11,172","4,230","          2.64","11,141","4,234","          2.63","11,091","4,231","          2.62","11,107","4,231","          2.63","11,045","4,234","          2.61","11,101","4,263","          2.60","11,084","4,259","          2.60","11,044","4,257","          2.59","10,983","4,250","          2.58"
"대구광역시 달서구 감삼동(2729055500)","26,519","9,251","          2.87","26,678","9,306","          2.87","26,823","9,364","          2.86","26,901","9,411","          2.86","27,024","9,442","          2.86","27,122","9,474","          2.86","27,233","9,508","          2.86","27,419","9,579","          2.86","27,483","9,607","          2.86","27,536","9,630","          2.86","27,614","9,661","          2.86","27,669","9,691","          2.86"
"대구광역시 달서구 죽전동(2729056300)","17,199","6,492","          2.65","17,179","6,497","          2.64","17,158","6,504","          2.64","17,186","6,518","          2.64","17,164","6,520","          2.63","17,127","6,517","          2.63","17,048","6,499","          2.62","16,986","6,508","          2.61","16,917","6,498","          2.60","16,842","6,491","          2.59","16,825","6,507","          2.59","16,821","6,531","          2.58"
"대구광역시 달서구 장기동(2729056800)","19,091","6,520","          2.93","19,035","6,502","          2.93","19,011","6,498","          2.93","18,974","6,484","          2.93","18,959","6,475","          2.93","18,920","6,454","          2.93","18,921","6,458","          2.93","18,894","6,460","          2.92","18,881","6,453","          2.93","18,900","6,475","          2.92","18,875","6,463","          2.92","18,876","6,468","          2.92"
"대구광역시 달서구 용산1동(2729057100)","36,005","11,624","          3.10","35,935","11,625","          3.09","35,873","11,587","          3.10","35,751","11,562","          3.09","35,767","11,579","          3.09","35,730","11,577","          3.09","35,726","11,588","          3.08","35,738","11,601","          3.08","35,757","11,609","          3.08","35,699","11,610","          3.07","35,679","11,625","          3.07","35,668","11,632","          3.07"
"대구광역시 달서구 용산2동(2729057200)","35,265","11,218","          3.14","35,175","11,200","          3.14","35,154","11,195","          3.14","35,175","11,211","          3.14","35,164","11,220","          3.13","35,094","11,221","          3.13","35,047","11,226","          3.12","35,003","11,229","          3.12","34,990","11,237","          3.11","34,970","11,230","          3.11","34,948","11,222","          3.11","34,792","11,188","          3.11"
"대구광역시 달서구 이곡1동(2729057600)","28,019","8,947","          3.13","27,901","8,942","          3.12","27,914","8,949","          3.12","27,903","8,952","          3.12","27,847","8,943","          3.11","27,870","8,974","          3.11","27,775","8,955","          3.10","27,737","8,964","          3.09","27,711","8,979","          3.09","27,722","8,997","          3.08","27,653","8,992","          3.08","27,600","8,986","          3.07"
"대구광역시 달서구 이곡2동(2729057700)","20,326","6,640","          3.06","20,292","6,643","          3.05","20,276","6,634","          3.06","20,206","6,616","          3.05","20,197","6,622","          3.05","20,176","6,627","          3.04","20,156","6,629","          3.04","20,090","6,617","          3.04","20,094","6,629","          3.03","20,057","6,624","          3.03","19,961","6,607","          3.02","19,925","6,612","          3.01"
"대구광역시 달서구 신당동(2729058500)","39,395","15,656","          2.52","39,270","15,630","          2.51","39,146","15,624","          2.51","38,976","15,572","          2.50","38,947","15,575","          2.50","38,886","15,554","          2.50","38,771","15,529","          2.50","38,645","15,499","          2.49","38,545","15,477","          2.49","38,431","15,439","          2.49","38,280","15,405","          2.48","38,152","15,363","          2.48"
"대구광역시 달서구 본리동(2729059000)","23,717","8,394","          2.83","23,565","8,349","          2.82","23,352","8,276","          2.82","23,188","8,222","          2.82","23,111","8,213","          2.81","23,156","8,239","          2.81","23,218","8,277","          2.81","23,302","8,292","          2.81","23,359","8,317","          2.81","23,320","8,322","          2.80","23,310","8,324","          2.80","23,435","8,363","          2.80"
"대구광역시 달서구 월성1동(2729060100)","36,154","10,606","          3.41","36,902","10,800","          3.42","37,220","10,873","          3.42","37,549","10,963","          3.43","37,902","11,065","          3.43","38,050","11,112","          3.42","38,338","11,198","          3.42","38,760","11,302","          3.43","38,970","11,351","          3.43","39,180","11,403","          3.44","39,437","11,482","          3.43","39,561","11,520","          3.43"
