"행정구역","2010년10월_거주자 인구수","2010년10월_세대수","2010년10월_세대당 인구","2010년11월_거주자 인구수","2010년11월_세대수","2010년11월_세대당 인구","2010년12월_거주자 인구수","2010년12월_세대수","2010년12월_세대당 인구"
"대구광역시 수성구 (2726000000)","458,191","157,222","          2.91","458,607","157,370","          2.91","458,372","157,352","          2.91"
"대구광역시 수성구 범어1동(2726051000)","18,241","6,217","          2.93","18,333","6,237","          2.94","18,462","6,269","          2.94"
"대구광역시 수성구 범어2동(2726052000)","12,618","4,611","          2.74","12,699","4,632","          2.74","12,759","4,648","          2.75"
"대구광역시 수성구 범어3동(2726053000)","11,234","3,785","          2.97","11,319","3,845","          2.94","11,529","3,908","          2.95"
"대구광역시 수성구 범어4동(2726054000)","20,533","6,347","          3.24","20,487","6,318","          3.24","20,399","6,291","          3.24"
"대구광역시 수성구 만촌1동(2726055000)","25,780","8,546","          3.02","25,768","8,529","          3.02","25,775","8,537","          3.02"
"대구광역시 수성구 만촌2동(2726056000)","13,977","4,939","          2.83","13,966","4,946","          2.82","13,858","4,929","          2.81"
"대구광역시 수성구 만촌3동(2726056100)","23,117","7,267","          3.18","23,089","7,240","          3.19","22,871","7,173","          3.19"
"대구광역시 수성구 수성1가동(2726057000)","18,627","6,493","          2.87","18,627","6,485","          2.87","18,591","6,483","          2.87"
"대구광역시 수성구 수성2.3가동(2726058000)","11,584","4,166","          2.78","11,776","4,220","          2.79","12,014","4,282","          2.81"
"대구광역시 수성구 수성4가동(2726059000)","17,746","6,177","          2.87","17,809","6,184","          2.88","17,783","6,172","          2.88"
"대구광역시 수성구 황금1동(2726060100)","26,062","8,077","          3.23","26,055","8,077","          3.23","26,062","8,062","          3.23"
"대구광역시 수성구 황금2동(2726060200)","13,227","5,280","          2.51","13,187","5,288","          2.49","13,145","5,260","          2.50"
"대구광역시 수성구 중동(2726061000)","13,725","5,885","          2.33","13,669","5,866","          2.33","13,637","5,858","          2.33"
"대구광역시 수성구 상동(2726062000)","16,403","6,668","          2.46","16,391","6,672","          2.46","16,396","6,672","          2.46"
"대구광역시 수성구 파동(2726063000)","13,976","5,192","          2.69","13,935","5,181","          2.69","13,911","5,184","          2.68"
"대구광역시 수성구 두산동(2726064000)","11,997","5,033","          2.38","12,060","5,060","          2.38","12,094","5,070","          2.39"
"대구광역시 수성구 지산1동(2726065100)","27,089","10,060","          2.69","27,113","10,074","          2.69","27,006","10,048","          2.69"
"대구광역시 수성구 지산2동(2726065200)","24,168","8,336","          2.90","24,237","8,355","          2.90","24,197","8,350","          2.90"
"대구광역시 수성구 범물1동(2726066100)","15,375","6,008","          2.56","15,344","6,000","          2.56","15,379","6,025","          2.55"
"대구광역시 수성구 범물2동(2726066200)","19,298","6,316","          3.06","19,334","6,333","          3.05","19,302","6,338","          3.05"
"대구광역시 수성구 고산1동(2726067000)","36,506","10,926","          3.34","36,465","10,934","          3.34","36,362","10,916","          3.33"
"대구광역시 수성구 고산2동(2726068000)","30,789","9,672","          3.18","30,741","9,657","          3.18","30,777","9,670","          3.18"
"대구광역시 수성구 고산3동(2726069000)","36,119","11,221","          3.22","36,203","11,237","          3.22","36,063","11,207","          3.22"
